Created as New Dataset;
cm-1;%T
4000,00;98,63
3999,50;98,60
3999,00;98,58
3998,50;98,58
3998,00;98,60
3997,50;98,62
3997,00;98,63
3996,50;98,62
3996,00;98,62
3995,50;98,62
3995,00;98,62
3994,50;98,63
3994,00;98,64
3993,50;98,64
3993,00;98,65
3992,50;98,66
3992,00;98,67
3991,50;98,69
3991,00;98,70
3990,50;98,69
3990,00;98,66
3989,50;98,62
3989,00;98,59
3988,50;98,57
3988,00;98,58
3987,50;98,58
3987,00;98,58
3986,50;98,58
3986,00;98,59
3985,50;98,60
3985,00;98,61
3984,50;98,60
3984,00;98,59
3983,50;98,58
3983,00;98,59
3982,50;98,62
3982,00;98,65
3981,50;98,67
3981,00;98,66
3980,50;98,63
3980,00;98,60
3979,50;98,59
3979,00;98,59
3978,50;98,61
3978,00;98,64
3977,50;98,68
3977,00;98,71
3976,50;98,72
3976,00;98,70
3975,50;98,66
3975,00;98,63
3974,50;98,61
3974,00;98,60
3973,50;98,61
3973,00;98,62
3972,50;98,63
3972,00;98,64
3971,50;98,64
3971,00;98,63
3970,50;98,62
3970,00;98,61
3969,50;98,62
3969,00;98,64
3968,50;98,66
3968,00;98,68
3967,50;98,68
3967,00;98,68
3966,50;98,68
3966,00;98,68
3965,50;98,69
3965,00;98,69
3964,50;98,71
3964,00;98,72
3963,50;98,74
3963,00;98,73
3962,50;98,71
3962,00;98,66
3961,50;98,61
3961,00;98,58
3960,50;98,55
3960,00;98,53
3959,50;98,52
3959,00;98,52
3958,50;98,53
3958,00;98,55
3957,50;98,57
3957,00;98,57
3956,50;98,57
3956,00;98,57
3955,50;98,57
3955,00;98,59
3954,50;98,61
3954,00;98,61
3953,50;98,60
3953,00;98,58
3952,50;98,57
3952,00;98,57
3951,50;98,58
3951,00;98,60
3950,50;98,62
3950,00;98,62
3949,50;98,61
3949,00;98,61
3948,50;98,61
3948,00;98,63
3947,50;98,65
3947,00;98,65
3946,50;98,64
3946,00;98,62
3945,50;98,61
3945,00;98,62
3944,50;98,62
3944,00;98,62
3943,50;98,62
3943,00;98,63
3942,50;98,64
3942,00;98,63
3941,50;98,61
3941,00;98,60
3940,50;98,60
3940,00;98,62
3939,50;98,65
3939,00;98,67
3938,50;98,68
3938,00;98,68
3937,50;98,68
3937,00;98,69
3936,50;98,72
3936,00;98,75
3935,50;98,77
3935,00;98,77
3934,50;98,76
3934,00;98,75
3933,50;98,74
3933,00;98,73
3932,50;98,72
3932,00;98,70
3931,50;98,67
3931,00;98,65
3930,50;98,65
3930,00;98,66
3929,50;98,68
3929,00;98,70
3928,50;98,70
3928,00;98,67
3927,50;98,64
3927,00;98,62
3926,50;98,63
3926,00;98,64
3925,50;98,65
3925,00;98,65
3924,50;98,68
3924,00;98,72
3923,50;98,74
3923,00;98,73
3922,50;98,69
3922,00;98,65
3921,50;98,63
3921,00;98,65
3920,50;98,68
3920,00;98,72
3919,50;98,73
3919,00;98,72
3918,50;98,71
3918,00;98,71
3917,50;98,72
3917,00;98,74
3916,50;98,76
3916,00;98,76
3915,50;98,76
3915,00;98,74
3914,50;98,73
3914,00;98,71
3913,50;98,69
3913,00;98,68
3912,50;98,69
3912,00;98,69
3911,50;98,68
3911,00;98,67
3910,50;98,65
3910,00;98,63
3909,50;98,61
3909,00;98,59
3908,50;98,59
3908,00;98,63
3907,50;98,67
3907,00;98,72
3906,50;98,74
3906,00;98,75
3905,50;98,73
3905,00;98,71
3904,50;98,69
3904,00;98,68
3903,50;98,68
3903,00;98,71
3902,50;98,74
3902,00;98,76
3901,50;98,76
3901,00;98,76
3900,50;98,75
3900,00;98,76
3899,50;98,77
3899,00;98,77
3898,50;98,75
3898,00;98,71
3897,50;98,68
3897,00;98,67
3896,50;98,66
3896,00;98,66
3895,50;98,65
3895,00;98,65
3894,50;98,66
3894,00;98,69
3893,50;98,73
3893,00;98,76
3892,50;98,80
3892,00;98,82
3891,50;98,82
3891,00;98,78
3890,50;98,72
3890,00;98,67
3889,50;98,64
3889,00;98,63
3888,50;98,65
3888,00;98,66
3887,50;98,67
3887,00;98,68
3886,50;98,69
3886,00;98,72
3885,50;98,74
3885,00;98,75
3884,50;98,75
3884,00;98,75
3883,50;98,73
3883,00;98,70
3882,50;98,66
3882,00;98,63
3881,50;98,65
3881,00;98,72
3880,50;98,80
3880,00;98,83
3879,50;98,80
3879,00;98,74
3878,50;98,69
3878,00;98,68
3877,50;98,69
3877,00;98,69
3876,50;98,68
3876,00;98,65
3875,50;98,63
3875,00;98,64
3874,50;98,69
3874,00;98,72
3873,50;98,71
3873,00;98,67
3872,50;98,65
3872,00;98,67
3871,50;98,70
3871,00;98,73
3870,50;98,75
3870,00;98,78
3869,50;98,80
3869,00;98,78
3868,50;98,72
3868,00;98,66
3867,50;98,62
3867,00;98,61
3866,50;98,62
3866,00;98,64
3865,50;98,70
3865,00;98,77
3864,50;98,81
3864,00;98,82
3863,50;98,79
3863,00;98,76
3862,50;98,74
3862,00;98,74
3861,50;98,73
3861,00;98,71
3860,50;98,68
3860,00;98,65
3859,50;98,62
3859,00;98,60
3858,50;98,60
3858,00;98,61
3857,50;98,64
3857,00;98,67
3856,50;98,69
3856,00;98,70
3855,50;98,71
3855,00;98,71
3854,50;98,71
3854,00;98,72
3853,50;98,71
3853,00;98,70
3852,50;98,69
3852,00;98,69
3851,50;98,69
3851,00;98,68
3850,50;98,68
3850,00;98,68
3849,50;98,67
3849,00;98,66
3848,50;98,65
3848,00;98,64
3847,50;98,63
3847,00;98,63
3846,50;98,63
3846,00;98,64
3845,50;98,67
3845,00;98,69
3844,50;98,72
3844,00;98,73
3843,50;98,72
3843,00;98,70
3842,50;98,66
3842,00;98,63
3841,50;98,60
3841,00;98,60
3840,50;98,62
3840,00;98,64
3839,50;98,65
3839,00;98,64
3838,50;98,65
3838,00;98,68
3837,50;98,70
3837,00;98,70
3836,50;98,67
3836,00;98,63
3835,50;98,59
3835,00;98,59
3834,50;98,62
3834,00;98,64
3833,50;98,66
3833,00;98,66
3832,50;98,68
3832,00;98,72
3831,50;98,75
3831,00;98,75
3830,50;98,72
3830,00;98,68
3829,50;98,63
3829,00;98,58
3828,50;98,55
