Created as New Dataset;
cm-1;%T
4000,00;101,49
3999,50;101,47
3999,00;101,45
3998,50;101,45
3998,00;101,45
3997,50;101,47
3997,00;101,49
3996,50;101,53
3996,00;101,56
3995,50;101,56
3995,00;101,53
3994,50;101,48
3994,00;101,45
3993,50;101,45
3993,00;101,47
3992,50;101,49
3992,00;101,50
3991,50;101,50
3991,00;101,49
3990,50;101,50
3990,00;101,51
3989,50;101,52
3989,00;101,53
3988,50;101,52
3988,00;101,51
3987,50;101,49
3987,00;101,49
3986,50;101,50
3986,00;101,52
3985,50;101,54
3985,00;101,55
3984,50;101,55
3984,00;101,54
3983,50;101,55
3983,00;101,57
3982,50;101,60
3982,00;101,61
3981,50;101,60
3981,00;101,56
3980,50;101,51
3980,00;101,47
3979,50;101,44
3979,00;101,43
3978,50;101,42
3978,00;101,43
3977,50;101,45
3977,00;101,48
3976,50;101,51
3976,00;101,53
3975,50;101,53
3975,00;101,52
3974,50;101,52
3974,00;101,51
3973,50;101,51
3973,00;101,51
3972,50;101,50
3972,00;101,49
3971,50;101,47
3971,00;101,46
3970,50;101,48
3970,00;101,50
3969,50;101,53
3969,00;101,57
3968,50;101,59
3968,00;101,61
3967,50;101,61
3967,00;101,61
3966,50;101,60
3966,00;101,61
3965,50;101,61
3965,00;101,62
3964,50;101,62
3964,00;101,62
3963,50;101,61
3963,00;101,61
3962,50;101,59
3962,00;101,55
3961,50;101,51
3961,00;101,47
3960,50;101,46
3960,00;101,46
3959,50;101,48
3959,00;101,49
3958,50;101,50
3958,00;101,50
3957,50;101,49
3957,00;101,49
3956,50;101,50
3956,00;101,52
3955,50;101,54
3955,00;101,54
3954,50;101,53
3954,00;101,51
3953,50;101,49
3953,00;101,47
3952,50;101,48
3952,00;101,49
3951,50;101,50
3951,00;101,48
3950,50;101,45
3950,00;101,43
3949,50;101,43
3949,00;101,46
3948,50;101,50
3948,00;101,54
3947,50;101,56
3947,00;101,54
3946,50;101,52
3946,00;101,50
3945,50;101,48
3945,00;101,48
3944,50;101,48
3944,00;101,49
3943,50;101,50
3943,00;101,51
3942,50;101,51
3942,00;101,50
3941,50;101,49
3941,00;101,48
3940,50;101,49
3940,00;101,50
3939,50;101,51
3939,00;101,53
3938,50;101,55
3938,00;101,57
3937,50;101,59
3937,00;101,59
3936,50;101,60
3936,00;101,61
3935,50;101,62
3935,00;101,62
3934,50;101,59
3934,00;101,55
3933,50;101,52
3933,00;101,51
3932,50;101,51
3932,00;101,51
3931,50;101,51
3931,00;101,52
3930,50;101,56
3930,00;101,60
3929,50;101,65
3929,00;101,68
3928,50;101,68
3928,00;101,67
3927,50;101,63
3927,00;101,58
3926,50;101,54
3926,00;101,53
3925,50;101,55
3925,00;101,58
3924,50;101,60
3924,00;101,59
3923,50;101,58
3923,00;101,58
3922,50;101,59
3922,00;101,61
3921,50;101,62
3921,00;101,62
3920,50;101,62
3920,00;101,60
3919,50;101,56
3919,00;101,51
3918,50;101,47
3918,00;101,47
3917,50;101,51
3917,00;101,55
3916,50;101,57
3916,00;101,56
3915,50;101,56
3915,00;101,56
3914,50;101,57
3914,00;101,59
3913,50;101,61
3913,00;101,62
3912,50;101,62
3912,00;101,61
3911,50;101,61
3911,00;101,60
3910,50;101,60
3910,00;101,60
3909,50;101,60
3909,00;101,60
3908,50;101,61
3908,00;101,62
3907,50;101,62
3907,00;101,63
3906,50;101,64
3906,00;101,64
3905,50;101,62
3905,00;101,57
3904,50;101,50
3904,00;101,44
3903,50;101,39
3903,00;101,37
3902,50;101,41
3902,00;101,48
3901,50;101,55
3901,00;101,58
3900,50;101,59
3900,00;101,58
3899,50;101,57
3899,00;101,56
3898,50;101,54
3898,00;101,53
3897,50;101,53
3897,00;101,56
3896,50;101,58
3896,00;101,59
3895,50;101,59
3895,00;101,58
3894,50;101,58
3894,00;101,58
3893,50;101,56
3893,00;101,53
3892,50;101,50
3892,00;101,50
3891,50;101,52
3891,00;101,52
3890,50;101,51
3890,00;101,49
3889,50;101,48
3889,00;101,49
3888,50;101,52
3888,00;101,54
3887,50;101,54
3887,00;101,53
3886,50;101,54
3886,00;101,56
3885,50;101,57
3885,00;101,57
3884,50;101,59
3884,00;101,62
3883,50;101,66
3883,00;101,68
3882,50;101,68
3882,00;101,65
3881,50;101,65
3881,00;101,67
3880,50;101,69
3880,00;101,66
3879,50;101,59
3879,00;101,53
3878,50;101,51
3878,00;101,53
3877,50;101,57
3877,00;101,61
3876,50;101,62
3876,00;101,61
3875,50;101,59
3875,00;101,58
3874,50;101,60
3874,00;101,61
3873,50;101,62
3873,00;101,62
3872,50;101,64
3872,00;101,67
3871,50;101,70
3871,00;101,70
3870,50;101,70
3870,00;101,67
3869,50;101,61
3869,00;101,56
3868,50;101,52
3868,00;101,52
3867,50;101,53
3867,00;101,55
3866,50;101,57
3866,00;101,61
3865,50;101,66
3865,00;101,69
3864,50;101,67
3864,00;101,61
3863,50;101,55
3863,00;101,52
3862,50;101,55
3862,00;101,59
3861,50;101,61
3861,00;101,62
3860,50;101,62
3860,00;101,64
3859,50;101,65
3859,00;101,64
3858,50;101,59
3858,00;101,54
3857,50;101,51
3857,00;101,52
3856,50;101,53
3856,00;101,52
3855,50;101,45
3855,00;101,39
3854,50;101,41
3854,00;101,49
3853,50;101,55
3853,00;101,62
3852,50;101,69
3852,00;101,73
3851,50;101,72
3851,00;101,68
3850,50;101,64
3850,00;101,64
3849,50;101,66
3849,00;101,67
3848,50;101,67
3848,00;101,66
3847,50;101,64
3847,00;101,63
3846,50;101,63
3846,00;101,62
3845,50;101,61
3845,00;101,60
3844,50;101,60
3844,00;101,60
3843,50;101,60
3843,00;101,57
3842,50;101,55
3842,00;101,53
3841,50;101,53
3841,00;101,56
3840,50;101,58
3840,00;101,60
3839,50;101,62
3839,00;101,65
3838,50;101,72
3838,00;101,79
3837,50;101,81
3837,00;101,77
3836,50;101,67
3836,00;101,58
3835,50;101,55
3835,00;101,57
3834,50;101,62
3834,00;101,65
3833,50;101,67
3833,00;101,68
3832,50;101,70
3832,00;101,70
3831,50;101,69
3831,00;101,67
3830,50;101,63
3830,00;101,60
3829,50;101,57
3829,00;101,56
3828,50;101,56
3828,00;101,59
3827,50;101,63
3827,00;101,66
3826,50;101,67
3826,00;101,66
3825,50;101,64
3825,00;101,62
