Created as New Dataset;
cm-1;%T
4000,00;103,25
3999,50;103,22
3999,00;103,21
3998,50;103,22
3998,00;103,24
3997,50;103,28
3997,00;103,30
3996,50;103,31
3996,00;103,32
3995,50;103,34
3995,00;103,35
3994,50;103,35
3994,00;103,34
3993,50;103,35
3993,00;103,36
3992,50;103,37
3992,00;103,39
3991,50;103,40
3991,00;103,40
3990,50;103,38
3990,00;103,34
3989,50;103,28
3989,00;103,24
3988,50;103,22
3988,00;103,24
3987,50;103,28
3987,00;103,31
3986,50;103,32
3986,00;103,32
3985,50;103,31
3985,00;103,29
3984,50;103,26
3984,00;103,23
3983,50;103,22
3983,00;103,23
3982,50;103,26
3982,00;103,29
3981,50;103,29
3981,00;103,27
3980,50;103,23
3980,00;103,20
3979,50;103,18
3979,00;103,18
3978,50;103,20
3978,00;103,24
3977,50;103,27
3977,00;103,28
3976,50;103,27
3976,00;103,25
3975,50;103,24
3975,00;103,24
3974,50;103,25
3974,00;103,26
3973,50;103,25
3973,00;103,23
3972,50;103,21
3972,00;103,21
3971,50;103,22
3971,00;103,23
3970,50;103,24
3970,00;103,25
3969,50;103,25
3969,00;103,24
3968,50;103,22
3968,00;103,21
3967,50;103,21
3967,00;103,22
3966,50;103,24
3966,00;103,26
3965,50;103,28
3965,00;103,28
3964,50;103,27
3964,00;103,26
3963,50;103,25
3963,00;103,25
3962,50;103,24
3962,00;103,21
3961,50;103,18
3961,00;103,14
3960,50;103,11
3960,00;103,10
3959,50;103,10
3959,00;103,11
3958,50;103,12
3958,00;103,14
3957,50;103,15
3957,00;103,16
3956,50;103,16
3956,00;103,16
3955,50;103,16
3955,00;103,16
3954,50;103,14
3954,00;103,13
3953,50;103,13
3953,00;103,14
3952,50;103,15
3952,00;103,14
3951,50;103,13
3951,00;103,09
3950,50;103,05
3950,00;103,02
3949,50;103,01
3949,00;103,03
3948,50;103,06
3948,00;103,08
3947,50;103,08
3947,00;103,06
3946,50;103,04
3946,00;103,04
3945,50;103,06
3945,00;103,09
3944,50;103,13
3944,00;103,15
3943,50;103,14
3943,00;103,11
3942,50;103,05
3942,00;102,99
3941,50;102,96
3941,00;102,96
3940,50;102,98
3940,00;103,01
3939,50;103,03
3939,00;103,04
3938,50;103,05
3938,00;103,06
3937,50;103,07
3937,00;103,08
3936,50;103,10
3936,00;103,11
3935,50;103,12
3935,00;103,11
3934,50;103,07
3934,00;103,03
3933,50;102,99
3933,00;102,97
3932,50;102,96
3932,00;102,96
3931,50;102,97
3931,00;102,99
3930,50;103,02
3930,00;103,04
3929,50;103,05
3929,00;103,05
3928,50;103,04
3928,00;103,04
3927,50;103,05
3927,00;103,07
3926,50;103,09
3926,00;103,11
3925,50;103,10
3925,00;103,07
3924,50;103,05
3924,00;103,04
3923,50;103,05
3923,00;103,06
3922,50;103,06
3922,00;103,06
3921,50;103,06
3921,00;103,07
3920,50;103,09
3920,00;103,10
3919,50;103,09
3919,00;103,05
3918,50;103,01
3918,00;102,99
3917,50;103,00
3917,00;103,02
3916,50;103,04
3916,00;103,04
3915,50;103,05
3915,00;103,07
3914,50;103,10
3914,00;103,13
3913,50;103,16
3913,00;103,18
3912,50;103,20
3912,00;103,21
3911,50;103,22
3911,00;103,21
3910,50;103,20
3910,00;103,20
3909,50;103,18
3909,00;103,17
3908,50;103,15
3908,00;103,15
3907,50;103,18
3907,00;103,25
3906,50;103,32
3906,00;103,37
3905,50;103,35
3905,00;103,27
3904,50;103,16
3904,00;103,07
3903,50;103,03
3903,00;103,03
3902,50;103,09
3902,00;103,18
3901,50;103,23
3901,00;103,25
3900,50;103,27
3900,00;103,28
3899,50;103,28
3899,00;103,25
3898,50;103,20
3898,00;103,16
3897,50;103,16
3897,00;103,18
3896,50;103,20
3896,00;103,21
3895,50;103,20
3895,00;103,20
3894,50;103,23
3894,00;103,27
3893,50;103,30
3893,00;103,30
3892,50;103,29
3892,00;103,31
3891,50;103,32
3891,00;103,31
3890,50;103,28
3890,00;103,26
3889,50;103,25
3889,00;103,27
3888,50;103,30
3888,00;103,32
3887,50;103,34
3887,00;103,35
3886,50;103,37
3886,00;103,39
3885,50;103,37
3885,00;103,34
3884,50;103,34
3884,00;103,38
3883,50;103,42
3883,00;103,44
3882,50;103,42
3882,00;103,38
3881,50;103,37
3881,00;103,39
3880,50;103,41
3880,00;103,40
3879,50;103,36
3879,00;103,35
3878,50;103,38
3878,00;103,41
3877,50;103,45
3877,00;103,46
3876,50;103,45
3876,00;103,43
3875,50;103,40
3875,00;103,41
3874,50;103,44
3874,00;103,47
3873,50;103,45
3873,00;103,43
3872,50;103,44
3872,00;103,47
3871,50;103,49
3871,00;103,46
3870,50;103,41
3870,00;103,39
3869,50;103,38
3869,00;103,36
3868,50;103,35
3868,00;103,35
3867,50;103,36
3867,00;103,37
3866,50;103,37
3866,00;103,36
3865,50;103,37
3865,00;103,38
3864,50;103,39
3864,00;103,38
3863,50;103,36
3863,00;103,34
3862,50;103,35
3862,00;103,36
3861,50;103,36
3861,00;103,36
3860,50;103,36
3860,00;103,38
3859,50;103,39
3859,00;103,40
3858,50;103,39
3858,00;103,39
3857,50;103,42
3857,00;103,47
3856,50;103,54
3856,00;103,59
3855,50;103,57
3855,00;103,52
3854,50;103,50
3854,00;103,43
3853,50;103,33
3853,00;103,32
3852,50;103,40
3852,00;103,48
3851,50;103,49
3851,00;103,47
3850,50;103,46
3850,00;103,48
3849,50;103,51
3849,00;103,51
3848,50;103,48
3848,00;103,44
3847,50;103,41
3847,00;103,41
3846,50;103,42
3846,00;103,44
3845,50;103,47
3845,00;103,49
3844,50;103,53
3844,00;103,55
3843,50;103,52
3843,00;103,45
3842,50;103,38
3842,00;103,34
3841,50;103,36
3841,00;103,43
3840,50;103,52
3840,00;103,57
3839,50;103,58
3839,00;103,59
3838,50;103,62
3838,00;103,67
3837,50;103,66
3837,00;103,60
3836,50;103,54
3836,00;103,49
3835,50;103,46
3835,00;103,44
3834,50;103,43
3834,00;103,42
3833,50;103,42
3833,00;103,43
3832,50;103,45
3832,00;103,48
3831,50;103,48
3831,00;103,45
3830,50;103,43
3830,00;103,42
3829,50;103,41
3829,00;103,41
3828,50;103,41
3828,00;103,42
3827,50;103,44
3827,00;103,46
3826,50;103,46
3826,00;103,45
3825,50;103,46
3825,00;103,49
3824,50;103,51
3824,00;103,51
3823,50;103,47
3823,00;103,38
3822,50;103,30
3822,00;103,28
3821,50;103,31
3821,00;103,32
3820,50;103,34
3820,00;103,37
3819,50;103,42
3819,00;103,47
3818,50;103,53
3818,00;103,59
3817,50;103,63
3817,00;103,65
3816,50;103,67
3816,00;103,68
3815,50;103,63
3815,00;103,54
3814,50;103,47
3814,00;103,44
3813,50;103,45
3813,00;103,49
3812,50;103,52
3812,00;103,54
3811,50;103,53
3811,00;103,50
3810,50;103,47
3810,00;103,47
3809,50;103,48
3809,00;103,50
3808,50;103,50
3808,00;103,47
3807,50;103,42
3807,00;103,37
3806,50;103,34
3806,00;103,36
3805,50;103,39
3805,00;103,42
3804,50;103,45
3804,00;103,48
3803,50;103,49
3803,00;103,48
3802,50;103,44
3802,00;103,43
3801,50;103,46
3801,00;103,49
3800,50;103,51
3800,00;103,53
3799,50;103,55
3799,00;103,56
3798,50;103,56
3798,00;103,55
3797,50;103,55
3797,00;103,55
3796,50;103,54
3796,00;103,53
3795,50;103,51
3795,00;103,51
3794,50;103,52
3794,00;103,53
3793,50;103,54
3793,00;103,53
3792,50;103,53
3792,00;103,53
3791,50;103,54
3791,00;103,56
3790,50;103,58
3790,00;103,60
3789,50;103,63
3789,00;103,63
3788,50;103,62
3788,00;103,60
3787,50;103,57
3787,00;103,56
3786,50;103,56
3786,00;103,57
3785,50;103,58
3785,00;103,57
3784,50;103,54
3784,00;103,50
3783,50;103,47
3783,00;103,46
3782,50;103,46
3782,00;103,48
3781,50;103,47
3781,00;103,45
3780,50;103,44
3780,00;103,46
3779,50;103,49
3779,00;103,51
3778,50;103,50
3778,00;103,50
3777,50;103,49
3777,00;103,49
3776,50;103,51
3776,00;103,53
3775,50;103,56
3775,00;103,56
3774,50;103,55
3774,00;103,53
3773,50;103,51
3773,00;103,50
3772,50;103,52
3772,00;103,54
3771,50;103,54
3771,00;103,53
3770,50;103,51
3770,00;103,51
3769,50;103,51
3769,00;103,50
3768,50;103,49
3768,00;103,46
3767,50;103,44
3767,00;103,44
3766,50;103,49
3766,00;103,54
