Created as New Dataset;
cm-1;%T
4000,00;97,17
3999,50;97,13
3999,00;97,08
3998,50;97,04
3998,00;97,03
3997,50;97,04
3997,00;97,11
3996,50;97,16
3996,00;97,19
3995,50;97,20
3995,00;97,18
3994,50;97,16
3994,00;97,16
3993,50;97,17
3993,00;97,19
3992,50;97,20
3992,00;97,20
3991,50;97,19
3991,00;97,17
3990,50;97,16
3990,00;97,18
3989,50;97,19
3989,00;97,19
3988,50;97,19
3988,00;97,20
3987,50;97,20
3987,00;97,17
3986,50;97,13
3986,00;97,13
3985,50;97,14
3985,00;97,13
3984,50;97,11
3984,00;97,09
3983,50;97,08
3983,00;97,08
3982,50;97,10
3982,00;97,13
3981,50;97,15
3981,00;97,14
3980,50;97,14
3980,00;97,15
3979,50;97,15
3979,00;97,13
3978,50;97,13
3978,00;97,14
3977,50;97,14
3977,00;97,14
3976,50;97,16
3976,00;97,18
3975,50;97,18
3975,00;97,17
3974,50;97,17
3974,00;97,17
3973,50;97,17
3973,00;97,18
3972,50;97,20
3972,00;97,22
3971,50;97,24
3971,00;97,25
3970,50;97,25
3970,00;97,24
3969,50;97,22
3969,00;97,22
3968,50;97,22
3968,00;97,24
3967,50;97,25
3967,00;97,24
3966,50;97,23
3966,00;97,23
3965,50;97,24
3965,00;97,23
3964,50;97,23
3964,00;97,25
3963,50;97,25
3963,00;97,20
3962,50;97,16
3962,00;97,17
3961,50;97,17
3961,00;97,15
3960,50;97,14
3960,00;97,16
3959,50;97,16
3959,00;97,15
3958,50;97,18
3958,00;97,21
3957,50;97,23
3957,00;97,24
3956,50;97,26
3956,00;97,27
3955,50;97,24
3955,00;97,22
3954,50;97,24
3954,00;97,25
3953,50;97,23
3953,00;97,23
3952,50;97,25
3952,00;97,26
3951,50;97,24
3951,00;97,24
3950,50;97,26
3950,00;97,25
3949,50;97,19
3949,00;97,15
3948,50;97,15
3948,00;97,17
3947,50;97,20
3947,00;97,20
3946,50;97,18
3946,00;97,16
3945,50;97,20
3945,00;97,26
3944,50;97,29
3944,00;97,29
3943,50;97,29
3943,00;97,30
3942,50;97,26
3942,00;97,21
3941,50;97,18
3941,00;97,16
3940,50;97,17
3940,00;97,20
3939,50;97,24
3939,00;97,23
3938,50;97,20
3938,00;97,21
3937,50;97,26
3937,00;97,27
3936,50;97,26
3936,00;97,28
3935,50;97,31
3935,00;97,32
3934,50;97,28
3934,00;97,23
3933,50;97,21
3933,00;97,21
3932,50;97,23
3932,00;97,24
3931,50;97,24
3931,00;97,22
3930,50;97,21
3930,00;97,27
3929,50;97,34
3929,00;97,36
3928,50;97,34
3928,00;97,36
3927,50;97,40
3927,00;97,43
3926,50;97,43
3926,00;97,45
3925,50;97,45
3925,00;97,38
3924,50;97,29
3924,00;97,25
3923,50;97,25
3923,00;97,22
3922,50;97,21
3922,00;97,25
3921,50;97,25
3921,00;97,20
3920,50;97,20
3920,00;97,27
3919,50;97,27
3919,00;97,15
3918,50;97,05
3918,00;97,10
3917,50;97,23
3917,00;97,28
3916,50;97,29
3916,00;97,32
3915,50;97,32
3915,00;97,29
3914,50;97,31
3914,00;97,38
3913,50;97,38
3913,00;97,35
3912,50;97,36
3912,00;97,40
3911,50;97,39
3911,00;97,37
3910,50;97,37
3910,00;97,38
3909,50;97,37
3909,00;97,38
3908,50;97,43
3908,00;97,45
3907,50;97,46
3907,00;97,52
3906,50;97,59
3906,00;97,58
3905,50;97,47
3905,00;97,39
3904,50;97,33
3904,00;97,20
3903,50;97,08
3903,00;97,05
3902,50;97,11
3902,00;97,21
3901,50;97,29
3901,00;97,32
3900,50;97,29
3900,00;97,30
3899,50;97,45
3899,00;97,52
3898,50;97,41
3898,00;97,28
3897,50;97,24
3897,00;97,28
3896,50;97,33
3896,00;97,36
3895,50;97,33
3895,00;97,30
3894,50;97,34
3894,00;97,45
3893,50;97,50
3893,00;97,42
3892,50;97,33
3892,00;97,36
3891,50;97,39
3891,00;97,30
3890,50;97,26
3890,00;97,27
3889,50;97,26
3889,00;97,26
3888,50;97,34
3888,00;97,43
3887,50;97,38
3887,00;97,26
3886,50;97,29
3886,00;97,43
3885,50;97,40
3885,00;97,34
3884,50;97,37
3884,00;97,42
3883,50;97,46
3883,00;97,55
3882,50;97,61
3882,00;97,54
3881,50;97,42
3881,00;97,53
3880,50;97,71
3880,00;97,62
3879,50;97,45
3879,00;97,40
3878,50;97,40
3878,00;97,39
3877,50;97,45
3877,00;97,57
3876,50;97,61
3876,00;97,56
3875,50;97,54
3875,00;97,59
3874,50;97,60
3874,00;97,51
3873,50;97,45
3873,00;97,45
3872,50;97,43
3872,00;97,45
3871,50;97,55
3871,00;97,57
3870,50;97,47
3870,00;97,47
3869,50;97,51
3869,00;97,47
3868,50;97,39
3868,00;97,37
