Created as New Dataset;
nm;A
700,0;-0,0554
699,0;-0,0552
698,0;-0,0551
697,0;-0,0551
696,0;-0,0550
695,0;-0,0550
694,0;-0,0550
693,0;-0,0550
692,0;-0,0551
691,0;-0,0552
690,0;-0,0555
689,0;-0,0557
688,0;-0,0559
687,0;-0,0562
686,0;-0,0563
685,0;-0,0566
684,0;-0,0567
683,0;-0,0567
682,0;-0,0566
681,0;-0,0564
680,0;-0,0563
679,0;-0,0563
678,0;-0,0561
677,0;-0,0559
676,0;-0,0556
675,0;-0,0554
674,0;-0,0551
673,0;-0,0549
672,0;-0,0549
671,0;-0,0547
670,0;-0,0545
669,0;-0,0544
668,0;-0,0544
667,0;-0,0544
666,0;-0,0544
665,0;-0,0544
664,0;-0,0544
663,0;-0,0545
662,0;-0,0545
661,0;-0,0546
660,0;-0,0546
659,0;-0,0547
658,0;-0,0546
657,0;-0,0547
656,0;-0,0547
655,0;-0,0546
654,0;-0,0547
653,0;-0,0546
652,0;-0,0545
651,0;-0,0545
650,0;-0,0544
649,0;-0,0543
648,0;-0,0542
647,0;-0,0541
646,0;-0,0541
645,0;-0,0540
644,0;-0,0539
643,0;-0,0538
642,0;-0,0538
641,0;-0,0538
640,0;-0,0537
639,0;-0,0537
638,0;-0,0536
637,0;-0,0535
636,0;-0,0534
635,0;-0,0533
634,0;-0,0533
633,0;-0,0531
632,0;-0,0530
631,0;-0,0530
630,0;-0,0528
629,0;-0,0527
628,0;-0,0526
627,0;-0,0525
626,0;-0,0524
625,0;-0,0522
624,0;-0,0521
623,0;-0,0518
622,0;-0,0517
621,0;-0,0514
620,0;-0,0513
619,0;-0,0511
618,0;-0,0510
617,0;-0,0509
616,0;-0,0508
615,0;-0,0507
614,0;-0,0506
613,0;-0,0507
612,0;-0,0507
611,0;-0,0507
610,0;-0,0506
609,0;-0,0506
608,0;-0,0505
607,0;-0,0504
606,0;-0,0504
605,0;-0,0503
604,0;-0,0502
603,0;-0,0502
602,0;-0,0503
601,0;-0,0503
600,0;-0,0503
599,0;-0,0504
598,0;-0,0505
597,0;-0,0505
596,0;-0,0506
595,0;-0,0506
594,0;-0,0506
593,0;-0,0506
592,0;-0,0506
591,0;-0,0506
590,0;-0,0506
589,0;-0,0506
588,0;-0,0506
587,0;-0,0506
586,0;-0,0505
585,0;-0,0504
584,0;-0,0503
583,0;-0,0503
582,0;-0,0502
581,0;-0,0501
580,0;-0,0499
579,0;-0,0499
578,0;-0,0497
577,0;-0,0495
576,0;-0,0494
575,0;-0,0493
574,0;-0,0490
573,0;-0,0488
572,0;-0,0487
571,0;-0,0486
570,0;-0,0484
569,0;-0,0481
568,0;-0,0480
567,0;-0,0478
566,0;-0,0477
565,0;-0,0475
564,0;-0,0474
563,0;-0,0473
562,0;-0,0472
561,0;-0,0470
560,0;-0,0470
559,0;-0,0469
558,0;-0,0468
557,0;-0,0468
556,0;-0,0466
555,0;-0,0466
554,0;-0,0466
553,0;-0,0465
552,0;-0,0464
551,0;-0,0464
550,0;-0,0463
549,0;-0,0463
548,0;-0,0463
547,0;-0,0462
546,0;-0,0462
545,0;-0,0462
544,0;-0,0462
543,0;-0,0462
542,0;-0,0462
541,0;-0,0462
540,0;-0,0463
539,0;-0,0463
538,0;-0,0462
537,0;-0,0464
536,0;-0,0465
535,0;-0,0464
534,0;-0,0465
533,0;-0,0465
532,0;-0,0466
531,0;-0,0466
530,0;-0,0467
529,0;-0,0467
528,0;-0,0467
527,0;-0,0468
526,0;-0,0468
525,0;-0,0469
524,0;-0,0470
523,0;-0,0470
522,0;-0,0470
521,0;-0,0472
520,0;-0,0471
519,0;-0,0472
518,0;-0,0474
517,0;-0,0474
516,0;-0,0475
515,0;-0,0475
514,0;-0,0476
513,0;-0,0477
512,0;-0,0478
