Created as New Dataset;
nm;A
700,0;0,0012
699,0;0,0012
698,0;0,0012
697,0;0,0011
696,0;0,0011
695,0;0,0012
694,0;0,0011
693,0;0,0010
692,0;0,0011
691,0;0,0011
690,0;0,0010
689,0;0,0010
688,0;0,0010
687,0;0,0010
686,0;0,0010
685,0;0,0009
684,0;0,0009
683,0;0,0009
682,0;0,0009
681,0;0,0009
680,0;0,0009
679,0;0,0008
678,0;0,0008
677,0;0,0007
676,0;0,0007
675,0;0,0008
674,0;0,0008
673,0;0,0008
672,0;0,0007
671,0;0,0007
670,0;0,0007
669,0;0,0006
668,0;0,0006
667,0;0,0006
666,0;0,0006
665,0;0,0006
664,0;0,0006
663,0;0,0005
662,0;0,0006
661,0;0,0005
660,0;0,0005
659,0;0,0003
658,0;0,0005
657,0;0,0004
656,0;0,0003
655,0;0,0004
654,0;0,0003
653,0;0,0003
652,0;0,0002
651,0;0,0002
650,0;0,0002
649,0;0,0001
648,0;0,0002
647,0;0,0001
646,0;0,0001
645,0;0,0001
644,0;0,0000
643,0;0,0000
642,0;0,0000
641,0;-0,0001
640,0;-0,0001
639,0;-0,0001
638,0;-0,0001
637,0;-0,0001
636,0;-0,0001
635,0;-0,0002
634,0;-0,0002
633,0;-0,0002
632,0;-0,0003
631,0;-0,0003
630,0;-0,0004
629,0;-0,0004
628,0;-0,0004
627,0;-0,0005
626,0;-0,0005
625,0;-0,0005
624,0;-0,0006
623,0;-0,0006
622,0;-0,0007
621,0;-0,0007
620,0;-0,0007
619,0;-0,0008
618,0;-0,0008
617,0;-0,0009
616,0;-0,0009
615,0;-0,0010
614,0;-0,0009
613,0;-0,0010
612,0;-0,0011
611,0;-0,0011
610,0;-0,0012
609,0;-0,0012
608,0;-0,0011
607,0;-0,0013
606,0;-0,0013
605,0;-0,0013
604,0;-0,0014
603,0;-0,0014
602,0;-0,0015
601,0;-0,0015
600,0;-0,0016
599,0;-0,0017
598,0;-0,0017
597,0;-0,0018
596,0;-0,0019
595,0;-0,0019
594,0;-0,0020
593,0;-0,0020
592,0;-0,0021
591,0;-0,0021
590,0;-0,0021
589,0;-0,0023
588,0;-0,0023
587,0;-0,0024
586,0;-0,0025
585,0;-0,0025
584,0;-0,0026
583,0;-0,0027
582,0;-0,0028
581,0;-0,0028
580,0;-0,0029
579,0;-0,0030
578,0;-0,0031
577,0;-0,0031
576,0;-0,0033
575,0;-0,0034
574,0;-0,0034
573,0;-0,0036
572,0;-0,0036
571,0;-0,0037
570,0;-0,0038
569,0;-0,0039
568,0;-0,0041
567,0;-0,0041
566,0;-0,0043
565,0;-0,0043
564,0;-0,0045
563,0;-0,0046
562,0;-0,0047
561,0;-0,0048
560,0;-0,0050
559,0;-0,0051
558,0;-0,0052
557,0;-0,0053
556,0;-0,0054
555,0;-0,0055
554,0;-0,0057
553,0;-0,0059
552,0;-0,0060
551,0;-0,0062
550,0;-0,0062
549,0;-0,0064
548,0;-0,0067
547,0;-0,0068
546,0;-0,0069
545,0;-0,0070
544,0;-0,0073
543,0;-0,0074
542,0;-0,0076
541,0;-0,0078
540,0;-0,0080
539,0;-0,0083
538,0;-0,0083
537,0;-0,0086
536,0;-0,0088
535,0;-0,0090
534,0;-0,0091
533,0;-0,0094
532,0;-0,0096
531,0;-0,0098
530,0;-0,0100
529,0;-0,0102
528,0;-0,0104
527,0;-0,0106
526,0;-0,0108
525,0;-0,0111
524,0;-0,0113
523,0;-0,0115
522,0;-0,0117
521,0;-0,0120
520,0;-0,0122
519,0;-0,0125
518,0;-0,0128
517,0;-0,0129
516,0;-0,0131
515,0;-0,0133
514,0;-0,0136
513,0;-0,0138
512,0;-0,0141
511,0;-0,0144
510,0;-0,0146
509,0;-0,0149
508,0;-0,0151
507,0;-0,0154
506,0;-0,0156
505,0;-0,0159
504,0;-0,0162
503,0;-0,0164
502,0;-0,0168
501,0;-0,0170
500,0;-0,0173
499,0;-0,0175
498,0;-0,0177
497,0;-0,0181
496,0;-0,0183
495,0;-0,0186
494,0;-0,0190
493,0;-0,0193
492,0;-0,0195
491,0;-0,0198
490,0;-0,0200
489,0;-0,0203
488,0;-0,0206
487,0;-0,0209
486,0;-0,0212
485,0;-0,0215
484,0;-0,0217
483,0;-0,0219
482,0;-0,0222
481,0;-0,0224
480,0;-0,0226
