Created as New Dataset;
nm;A
700,0;-0,0156
699,0;-0,0159
698,0;-0,0162
697,0;-0,0166
696,0;-0,0170
695,0;-0,0173
694,0;-0,0177
693,0;-0,0181
692,0;-0,0185
691,0;-0,0188
690,0;-0,0192
689,0;-0,0196
688,0;-0,0200
687,0;-0,0204
686,0;-0,0209
685,0;-0,0213
684,0;-0,0217
683,0;-0,0221
682,0;-0,0226
681,0;-0,0231
680,0;-0,0234
679,0;-0,0240
678,0;-0,0243
677,0;-0,0248
676,0;-0,0253
675,0;-0,0257
674,0;-0,0261
673,0;-0,0265
672,0;-0,0271
671,0;-0,0275
670,0;-0,0279
669,0;-0,0284
668,0;-0,0288
667,0;-0,0293
666,0;-0,0297
665,0;-0,0303
664,0;-0,0307
663,0;-0,0311
662,0;-0,0316
661,0;-0,0321
660,0;-0,0326
659,0;-0,0331
658,0;-0,0336
657,0;-0,0340
656,0;-0,0346
655,0;-0,0350
654,0;-0,0355
653,0;-0,0360
652,0;-0,0364
651,0;-0,0369
650,0;-0,0374
649,0;-0,0379
648,0;-0,0383
647,0;-0,0388
646,0;-0,0393
645,0;-0,0397
644,0;-0,0402
643,0;-0,0405
642,0;-0,0410
641,0;-0,0414
640,0;-0,0419
639,0;-0,0423
638,0;-0,0426
637,0;-0,0430
636,0;-0,0435
635,0;-0,0438
634,0;-0,0442
633,0;-0,0446
632,0;-0,0449
631,0;-0,0453
630,0;-0,0457
629,0;-0,0461
628,0;-0,0464
627,0;-0,0468
626,0;-0,0471
625,0;-0,0475
624,0;-0,0479
623,0;-0,0482
622,0;-0,0485
621,0;-0,0489
620,0;-0,0493
619,0;-0,0497
618,0;-0,0501
617,0;-0,0505
616,0;-0,0510
615,0;-0,0514
614,0;-0,0519
613,0;-0,0524
612,0;-0,0530
611,0;-0,0536
610,0;-0,0541
609,0;-0,0548
608,0;-0,0554
607,0;-0,0562
606,0;-0,0569
605,0;-0,0577
604,0;-0,0585
603,0;-0,0593
602,0;-0,0602
601,0;-0,0610
600,0;-0,0619
599,0;-0,0628
598,0;-0,0638
597,0;-0,0648
596,0;-0,0660
595,0;-0,0672
594,0;-0,0687
593,0;-0,0704
592,0;-0,0724
591,0;-0,0748
590,0;-0,0776
589,0;-0,0810
588,0;-0,0849
587,0;-0,0896
586,0;-0,0953
585,0;-0,1019
584,0;-0,1096
583,0;-0,1186
582,0;-0,1289
581,0;-0,1405
580,0;-0,1536
579,0;-0,1677
578,0;-0,1829
577,0;-0,1987
576,0;-0,2150
575,0;-0,2308
574,0;-0,2457
573,0;-0,2597
572,0;-0,2719
571,0;-0,2817
570,0;-0,2894
569,0;-0,2949
568,0;-0,2985
567,0;-0,3004
566,0;-0,3013
565,0;-0,3013
564,0;-0,3010
563,0;-0,3012
562,0;-0,3021
561,0;-0,3046
560,0;-0,3087
559,0;-0,3151
558,0;-0,3246
557,0;-0,3367
556,0;-0,3518
555,0;-0,3694
554,0;-0,3894
553,0;-0,4112
552,0;-0,4336
551,0;-0,4554
550,0;-0,4753
549,0;-0,4932
548,0;-0,5074
547,0;-0,5173
546,0;-0,5226
545,0;-0,5234
544,0;-0,5204
543,0;-0,5140
