Created as New Dataset;
nm;A
700,0;-0,0408
699,0;-0,0408
698,0;-0,0408
697,0;-0,0409
696,0;-0,0410
695,0;-0,0410
694,0;-0,0410
693,0;-0,0412
692,0;-0,0412
691,0;-0,0412
690,0;-0,0412
689,0;-0,0413
688,0;-0,0414
687,0;-0,0414
686,0;-0,0415
685,0;-0,0415
684,0;-0,0415
683,0;-0,0416
682,0;-0,0417
681,0;-0,0418
680,0;-0,0417
679,0;-0,0419
678,0;-0,0418
677,0;-0,0420
676,0;-0,0419
675,0;-0,0421
674,0;-0,0419
673,0;-0,0421
672,0;-0,0421
671,0;-0,0421
670,0;-0,0422
669,0;-0,0422
668,0;-0,0422
667,0;-0,0423
666,0;-0,0422
665,0;-0,0423
664,0;-0,0423
663,0;-0,0423
662,0;-0,0423
661,0;-0,0424
660,0;-0,0424
659,0;-0,0425
658,0;-0,0425
657,0;-0,0426
656,0;-0,0426
655,0;-0,0426
654,0;-0,0427
653,0;-0,0427
652,0;-0,0428
651,0;-0,0428
650,0;-0,0428
649,0;-0,0430
648,0;-0,0430
647,0;-0,0430
646,0;-0,0430
645,0;-0,0431
644,0;-0,0431
643,0;-0,0431
642,0;-0,0432
641,0;-0,0433
640,0;-0,0433
639,0;-0,0434
638,0;-0,0433
637,0;-0,0434
636,0;-0,0435
635,0;-0,0436
634,0;-0,0435
633,0;-0,0436
632,0;-0,0436
631,0;-0,0438
630,0;-0,0438
629,0;-0,0438
628,0;-0,0439
627,0;-0,0440
626,0;-0,0439
625,0;-0,0440
624,0;-0,0441
623,0;-0,0441
622,0;-0,0443
621,0;-0,0443
620,0;-0,0443
619,0;-0,0444
618,0;-0,0445
617,0;-0,0444
616,0;-0,0445
615,0;-0,0446
614,0;-0,0446
613,0;-0,0447
612,0;-0,0447
611,0;-0,0448
610,0;-0,0448
609,0;-0,0449
608,0;-0,0449
607,0;-0,0449
606,0;-0,0449
605,0;-0,0450
604,0;-0,0451
603,0;-0,0452
602,0;-0,0453
601,0;-0,0453
600,0;-0,0454
599,0;-0,0455
598,0;-0,0455
597,0;-0,0456
596,0;-0,0457
595,0;-0,0458
594,0;-0,0458
593,0;-0,0458
592,0;-0,0459
591,0;-0,0460
590,0;-0,0460
589,0;-0,0461
588,0;-0,0462
587,0;-0,0462
586,0;-0,0463
585,0;-0,0464
584,0;-0,0463
583,0;-0,0465
582,0;-0,0466
581,0;-0,0466
580,0;-0,0467
579,0;-0,0467
578,0;-0,0467
577,0;-0,0468
576,0;-0,0469
575,0;-0,0470
574,0;-0,0470
573,0;-0,0471
572,0;-0,0472
571,0;-0,0473
570,0;-0,0473
569,0;-0,0473
568,0;-0,0474
567,0;-0,0475
566,0;-0,0476
565,0;-0,0477
564,0;-0,0476
563,0;-0,0478
562,0;-0,0479
561,0;-0,0480
560,0;-0,0480
559,0;-0,0481
558,0;-0,0479
557,0;-0,0480
556,0;-0,0480
555,0;-0,0480
554,0;-0,0483
553,0;-0,0484
552,0;-0,0485
551,0;-0,0486
550,0;-0,0487
549,0;-0,0487
548,0;-0,0489
547,0;-0,0491
546,0;-0,0492
545,0;-0,0494
544,0;-0,0495
543,0;-0,0496
542,0;-0,0497
541,0;-0,0499
540,0;-0,0500
539,0;-0,0502
538,0;-0,0503
537,0;-0,0505
536,0;-0,0506
535,0;-0,0508
534,0;-0,0508
533,0;-0,0511
532,0;-0,0511
531,0;-0,0513
530,0;-0,0515
529,0;-0,0515
528,0;-0,0517
527,0;-0,0519
526,0;-0,0519
525,0;-0,0521
524,0;-0,0523
523,0;-0,0524
522,0;-0,0525
521,0;-0,0528
520,0;-0,0529
519,0;-0,0531
518,0;-0,0533
517,0;-0,0534
516,0;-0,0535
515,0;-0,0537
514,0;-0,0539
513,0;-0,0539
512,0;-0,0542
511,0;-0,0544
510,0;-0,0545
509,0;-0,0547
508,0;-0,0549
507,0;-0,0551
506,0;-0,0553
505,0;-0,0555
504,0;-0,0556
503,0;-0,0558
502,0;-0,0561
501,0;-0,0561
500,0;-0,0564
499,0;-0,0565
498,0;-0,0567
497,0;-0,0569
496,0;-0,0571
495,0;-0,0572
494,0;-0,0575
493,0;-0,0577
492,0;-0,0579
491,0;-0,0580
490,0;-0,0582
489,0;-0,0584
488,0;-0,0586
487,0;-0,0588
486,0;-0,0589
485,0;-0,0592
484,0;-0,0593
483,0;-0,0594
482,0;-0,0597
481,0;-0,0598
480,0;-0,0599
479,0;-0,0599
478,0;-0,0601
477,0;-0,0603
476,0;-0,0605
475,0;-0,0607
474,0;-0,0608
473,0;-0,0607
472,0;-0,0608
471,0;-0,0610
470,0;-0,0613
469,0;-0,0614
468,0;-0,0615
467,0;-0,0617
466,0;-0,0618
465,0;-0,0620
464,0;-0,0621
463,0;-0,0624
462,0;-0,0626
461,0;-0,0629
460,0;-0,0630
459,0;-0,0631
458,0;-0,0635
457,0;-0,0637
456,0;-0,0640
455,0;-0,0642
454,0;-0,0645
453,0;-0,0648
452,0;-0,0651
451,0;-0,0653
450,0;-0,0657
449,0;-0,0661
448,0;-0,0664
447,0;-0,0668
446,0;-0,0673
445,0;-0,0677
444,0;-0,0680
443,0;-0,0685
442,0;-0,0690
441,0;-0,0694
440,0;-0,0698
439,0;-0,0703
438,0;-0,0709
437,0;-0,0714
436,0;-0,0719
435,0;-0,0723
434,0;-0,0729
433,0;-0,0734
432,0;-0,0740
431,0;-0,0745
430,0;-0,0753
429,0;-0,0758
428,0;-0,0765
427,0;-0,0770
426,0;-0,0773
425,0;-0,0780
424,0;-0,0785
423,0;-0,0792
422,0;-0,0794
421,0;-0,0801
420,0;-0,0806
419,0;-0,0812
418,0;-0,0817
417,0;-0,0821
416,0;-0,0827
415,0;-0,0832
414,0;-0,0839
413,0;-0,0845
412,0;-0,0848
411,0;-0,0855
410,0;-0,0859
409,0;-0,0865
408,0;-0,0870
407,0;-0,0877
406,0;-0,0882
405,0;-0,0888
404,0;-0,0894
403,0;-0,0899
402,0;-0,0906
401,0;-0,0912
400,0;-0,0918
399,0;-0,0924
398,0;-0,0933
397,0;-0,0940
396,0;-0,0946
395,0;-0,0953
394,0;-0,0959
393,0;-0,0966
392,0;-0,0974
391,0;-0,0982
390,0;-0,0989
389,0;-0,0998
388,0;-0,1005
387,0;-0,1013
386,0;-0,1021
385,0;-0,1028
384,0;-0,1046
383,0;-0,1062
382,0;-0,1068
381,0;-0,1073
380,0;-0,1083
379,0;-0,1086
378,0;-0,1094
377,0;-0,1102
376,0;-0,1110
375,0;-0,1113
374,0;-0,1118
373,0;-0,1124
372,0;-0,1129
371,0;-0,1134
370,0;-0,1140
369,0;-0,1143
368,0;-0,1150
367,0;-0,1152
366,0;-0,1159
365,0;-0,1162
364,0;-0,1166
363,0;-0,1171
362,0;-0,1173
361,0;-0,1176
360,0;-0,1180
359,0;-0,1183
358,0;-0,1185
357,0;-0,1186
356,0;-0,1191
355,0;-0,1193
354,0;-0,1197
353,0;-0,1198
352,0;-0,1200
351,0;-0,1204
350,0;-0,1205
349,0;-0,1208
348,0;-0,1211
347,0;-0,1214
346,0;-0,1218
345,0;-0,1223
344,0;-0,1226
343,0;-0,1229
342,0;-0,1230
341,0;-0,1237
340,0;-0,1241
339,0;-0,1245
338,0;-0,1252
337,0;-0,1260
336,0;-0,1268
335,0;-0,1282
334,0;-0,1294
333,0;-0,1311
332,0;-0,1332
331,0;-0,1357
330,0;-0,1388
329,0;-0,1424
328,0;-0,1469
327,0;-0,1605
326,0;-0,1685
325,0;-0,1786
324,0;-0,1909
323,0;-0,2073
322,0;-0,2279
321,0;-0,2538
320,0;-0,2867
319,0;-0,3272
318,0;-0,3780
317,0;-0,4408
316,0;-0,5182
315,0;-0,6128
314,0;-0,7304
313,0;-0,8726
312,0;-1,0428
311,0;-1,2445
310,0;-1,4835
309,0;-1,7619
308,0;-2,0866
307,0;-2,4325
306,0;-2,7638
305,0;-3,0997
304,0;-3,2058
303,0;-3,3490
302,0;-3,4073
301,0;-3,4587
300,0;-3,4565
299,0;-3,4323
298,0;-3,5234
297,0;-3,6351
296,0;-3,6961
295,0;-3,7543
294,0;-3,7382
293,0;-3,8118
292,0;-4,0241
291,0;-3,6791
290,0;-4,0847
289,0;-4,0959
288,0;-4,0218
287,0;-3,8963
286,0;-3,9764
285,0;-4,0740
284,0;-4,2612
283,0;-4,0402
282,0;10,0000
281,0;-4,6914
280,0;-4,7220
279,0;-4,6318
278,0;-3,4723
277,0;-4,3060
276,0;-4,7152
275,0;-4,5878
274,0;-4,5450
273,0;10,0000
272,0;10,0000
271,0;10,0000
270,0;10,0000
269,0;10,0000
268,0;10,0000
267,0;-2,7438
266,0;10,0000
265,0;-4,7103
264,0;10,0000
263,0;10,0000
262,0;10,0000
261,0;10,0000
260,0;10,0000
259,0;-4,6068
258,0;10,0000
257,0;10,0000
256,0;10,0000
255,0;10,0000
254,0;10,0000
253,0;10,0000
252,0;10,0000
251,0;-4,7310
250,0;-4,1798
249,0;10,0000
248,0;10,0000
247,0;10,0000
246,0;10,0000
245,0;10,0000
244,0;10,0000
243,0;10,0000
242,0;-5,2571
241,0;10,0000
240,0;10,0000
239,0;10,0000
238,0;10,0000
237,0;-4,6278
236,0;-4,2379
235,0;-3,9612
234,0;-5,1091
233,0;10,0000
232,0;10,0000
231,0;-4,7557
230,0;-5,3104
229,0;-5,0804
228,0;-4,5713
227,0;-4,2720
226,0;-4,3488
225,0;-4,6761
224,0;-4,1915
223,0;-3,8585
222,0;-3,4856
221,0;-3,1278
220,0;-2,7933
219,0;-2,4738
218,0;-2,2096
217,0;-1,9771
216,0;-1,7754
215,0;-1,6073
214,0;-1,4718
213,0;-1,3651
212,0;-1,2897
211,0;-1,2456
210,0;-1,2363
209,0;-1,2655
208,0;-1,3412
207,0;-1,4749
206,0;-1,6899
205,0;-2,0085
204,0;-2,4758
203,0;-3,0550
202,0;-3,5228
201,0;-3,8456
200,0;-3,9514
