Created as New Dataset;
nm;A
700,0;-3,8272
699,0;-3,8405
698,0;-3,8514
697,0;-3,8813
696,0;-3,8632
695,0;-3,8473
694,0;-3,8704
693,0;-3,8631
692,0;-3,8547
691,0;-3,8364
690,0;-3,8317
689,0;-3,8530
688,0;-3,8631
687,0;-3,8226
686,0;-3,8376
685,0;-3,8765
684,0;-3,8529
683,0;-3,9160
682,0;-3,8600
681,0;-3,9026
680,0;-3,8871
679,0;-3,8662
678,0;-3,9003
677,0;-3,8152
676,0;-3,8686
675,0;-3,7922
674,0;-3,7991
673,0;-3,8659
672,0;-3,8665
671,0;-3,8865
670,0;-3,8837
669,0;-3,8668
668,0;-3,8808
667,0;-3,8010
666,0;-3,8161
665,0;-3,8752
664,0;-3,8546
663,0;-3,8924
662,0;-3,8758
661,0;-3,9166
660,0;-3,8892
659,0;-3,8604
658,0;-3,8332
657,0;-3,9246
656,0;-3,8497
655,0;-3,8556
654,0;-3,8726
653,0;-3,8741
652,0;-3,8844
651,0;-3,8223
650,0;-3,8732
649,0;-3,8718
648,0;-3,8741
647,0;-3,8624
646,0;-3,8722
645,0;-3,8861
644,0;-3,8770
643,0;-3,8379
642,0;-3,8034
641,0;-3,9047
640,0;-3,8527
639,0;-3,8600
638,0;-3,8524
637,0;-3,9001
636,0;-3,9067
635,0;-3,8451
634,0;-3,8429
633,0;-3,8836
632,0;-3,8598
631,0;-3,8576
630,0;-3,8524
629,0;-3,8854
628,0;-3,8881
627,0;-3,8240
626,0;-3,8505
625,0;-3,8638
624,0;-3,8885
623,0;-3,8651
622,0;-3,8654
621,0;-3,8740
620,0;-3,8536
619,0;-3,8431
618,0;-3,8418
617,0;-3,8802
616,0;-3,8770
615,0;-3,8928
614,0;-3,8673
613,0;-3,8891
612,0;-3,8741
611,0;-3,8066
610,0;-3,8406
609,0;-3,8339
608,0;-3,8589
607,0;-3,8750
606,0;-3,8757
605,0;-3,8685
604,0;-3,8961
603,0;-3,8003
602,0;-3,8326
601,0;-3,8672
600,0;-3,8716
599,0;-3,8656
598,0;-3,8319
597,0;-3,8808
596,0;-3,8370
595,0;-3,7961
594,0;-3,8332
593,0;-3,8628
592,0;-3,8506
591,0;-3,8645
590,0;-3,8199
589,0;-3,8375
588,0;-3,8422
587,0;-3,8251
586,0;-3,7780
585,0;-3,8463
584,0;-3,8342
583,0;-3,8613
582,0;-3,8475
581,0;-3,8432
580,0;-3,8673
579,0;-3,8109
578,0;-3,8233
577,0;-3,8348
576,0;-3,8397
575,0;-3,8582
574,0;-3,8748
573,0;-3,8735
572,0;-3,8511
571,0;-3,8162
570,0;-3,8084
569,0;-3,8550
568,0;-3,8617
567,0;-3,8598
566,0;-3,8563
565,0;-3,8464
564,0;-3,8750
563,0;-3,8002
562,0;-3,8368
561,0;-3,8462
560,0;-3,8568
559,0;-3,8178
558,0;-3,8437
557,0;-3,8911
556,0;-3,9002
555,0;-3,8461
554,0;-3,8248
553,0;-3,9104
552,0;-3,8571
551,0;-3,8820
550,0;-3,8649
549,0;-3,8777
548,0;-3,8657
547,0;-3,8358
546,0;-3,8079
545,0;-3,8704
544,0;-3,8514
543,0;-3,9041
542,0;-3,8556
541,0;-3,8702
540,0;-3,8530
539,0;-3,8221
538,0;-3,8196
537,0;-3,9116
536,0;-3,8920
535,0;-3,8792
534,0;-3,8905
533,0;-3,8643
532,0;-3,8513
531,0;-3,8455
530,0;-3,8163
529,0;-3,8831
528,0;-3,9015
527,0;-3,8611
526,0;-3,8973
525,0;-3,8752
524,0;-3,8971
523,0;-3,8471
522,0;-3,8374
521,0;-3,8821
520,0;-3,8541
519,0;-3,8395
518,0;-3,8686
517,0;-3,8915
516,0;-3,8736
515,0;-3,8086
514,0;-3,8271
513,0;-3,8925
512,0;-3,8435
511,0;-3,8676
510,0;-3,8607
509,0;-3,8680
508,0;-3,9012
507,0;-3,7916
506,0;-3,8657
505,0;-3,8905
504,0;-3,8602
503,0;-3,8520
502,0;-3,8453
501,0;-3,8743
500,0;-3,8816
499,0;-3,8077
498,0;-3,8226
497,0;-3,8581
496,0;-3,8738
495,0;-3,8627
494,0;-3,8907
493,0;-3,8895
492,0;-3,9173
491,0;-3,8092
490,0;-3,8371
489,0;-3,8426
488,0;-3,8986
487,0;-3,9072
486,0;-3,8546
485,0;-3,8831
484,0;-3,8405
483,0;-3,8727
482,0;-3,7904
481,0;-3,8553
480,0;-3,8719
479,0;-3,8699
478,0;-3,9088
477,0;-3,8584
476,0;-3,9302
475,0;-3,8129
474,0;-3,8375
473,0;-3,8712
472,0;-3,8695
471,0;-3,8404
470,0;-3,8643
469,0;-3,9104
468,0;-3,8415
467,0;-3,8125
466,0;-3,7782
465,0;-3,8700
464,0;-3,8569
463,0;-3,8884
462,0;-3,8524
461,0;-3,8259
460,0;-3,9272
459,0;-3,7721
458,0;-3,7965
457,0;-3,9065
456,0;-3,8954
455,0;-3,8633
454,0;-3,8988
453,0;-3,8578
452,0;-3,9637
451,0;-3,7829
450,0;-3,7397
449,0;-3,8649
448,0;-3,8788
447,0;-3,9741
446,0;-3,9089
445,0;-3,9318
444,0;-3,9608
443,0;-3,8096
442,0;-3,9213
441,0;-3,8650
440,0;-3,8905
439,0;-3,9113
438,0;-3,9108
437,0;-3,8733
436,0;-3,9692
435,0;-3,7251
434,0;-3,8008
433,0;-3,9336
432,0;-3,9149
431,0;-3,9521
430,0;-3,8545
429,0;-3,8929
428,0;-3,8894
427,0;-3,7863
426,0;-3,7851
425,0;-3,8393
424,0;-3,9160
423,0;-3,8642
422,0;-3,8650
421,0;-3,9153
420,0;-3,8698
419,0;-3,8711
418,0;-3,8511
417,0;-3,9305
416,0;-3,9789
415,0;-3,9071
414,0;-3,9121
413,0;-3,9263
412,0;-3,9234
411,0;-3,8515
410,0;-3,8570
409,0;-3,9508
408,0;-3,9170
407,0;-3,9339
406,0;-3,9492
405,0;-3,9934
404,0;-3,9619
403,0;-3,8488
402,0;-3,8975
401,0;-3,9284
400,0;-3,9784
399,0;-3,9494
398,0;-3,9339
397,0;-3,9142
396,0;-3,9066
395,0;-3,8691
394,0;-3,8657
393,0;-3,9584
392,0;-3,9609
391,0;-3,9116
390,0;-3,9102
389,0;-3,9499
388,0;-3,9521
387,0;-3,8187
386,0;-3,8409
385,0;-4,0065
384,0;10,0000
383,0;10,0000
382,0;10,0000
381,0;10,0000
380,0;10,0000
379,0;10,0000
378,0;-3,8851
377,0;10,0000
376,0;-4,5694
375,0;-4,0301
374,0;-4,1820
373,0;-4,1064
372,0;-3,8677
371,0;-3,9776
370,0;-3,7782
369,0;-4,0039
368,0;-4,1111
367,0;-4,1393
366,0;-4,1549
365,0;-4,1803
364,0;-4,1899
363,0;-3,9500
362,0;-3,7605
361,0;-4,0554
360,0;-4,0240
359,0;-4,0253
358,0;-3,8958
357,0;-4,1158
356,0;-3,9159
355,0;-3,7493
354,0;-3,7726
353,0;-4,0120
352,0;-3,9733
351,0;-4,4229
350,0;-3,9741
349,0;-3,9929
348,0;-4,0026
347,0;-3,7524
346,0;-3,8763
345,0;-3,8657
344,0;-4,2903
343,0;-3,9588
342,0;-3,9488
341,0;-3,9383
340,0;-4,0040
339,0;-3,7351
338,0;-3,6291
337,0;-3,8304
336,0;-4,3337
335,0;-3,9610
334,0;-3,9882
333,0;-4,0496
332,0;-4,0766
331,0;-3,8153
330,0;-4,0643
329,0;-3,6024
328,0;-3,2460
327,0;-4,3622
326,0;-4,3882
325,0;-4,0732
324,0;-3,9774
323,0;-3,6455
322,0;-4,1826
321,0;10,0000
320,0;-4,2570
319,0;-4,3666
318,0;-4,1908
317,0;-4,1346
316,0;-4,1679
315,0;-3,7701
314,0;-3,5579
313,0;-4,0908
312,0;-4,5878
311,0;-4,5129
310,0;10,0000
309,0;-4,1727
308,0;10,0000
307,0;-3,9645
306,0;-4,2167
305,0;10,0000
304,0;-4,6360
303,0;-4,1184
302,0;-4,5266
301,0;-4,3607
300,0;10,0000
299,0;-3,6570
298,0;-3,9732
297,0;-4,5909
296,0;-3,9917
295,0;-4,0991
294,0;-4,6836
293,0;10,0000
292,0;-4,0526
291,0;-3,9441
290,0;-3,9246
289,0;-4,4278
288,0;-4,0642
287,0;10,0000
286,0;10,0000
285,0;10,0000
284,0;-4,4683
283,0;-3,7656
282,0;-4,2327
281,0;10,0000
280,0;10,0000
279,0;10,0000
278,0;10,0000
277,0;10,0000
276,0;10,0000
275,0;-3,9335
274,0;-4,0935
273,0;-4,5143
272,0;10,0000
271,0;-4,7589
270,0;-4,2490
269,0;10,0000
268,0;10,0000
267,0;-4,0708
266,0;-3,8266
265,0;10,0000
264,0;10,0000
263,0;10,0000
262,0;-4,5705
261,0;10,0000
260,0;-4,2906
259,0;-3,8281
258,0;-4,8644
257,0;10,0000
256,0;10,0000
255,0;10,0000
254,0;-4,7892
253,0;10,0000
252,0;10,0000
251,0;-4,3311
250,0;-5,0967
249,0;10,0000
248,0;10,0000
247,0;-4,5392
246,0;10,0000
245,0;10,0000
244,0;10,0000
243,0;10,0000
242,0;-4,2973
241,0;-4,5512
240,0;-4,5496
239,0;10,0000
238,0;10,0000
237,0;10,0000
236,0;-4,9060
235,0;10,0000
234,0;-4,7977
233,0;-5,0926
232,0;10,0000
231,0;10,0000
230,0;10,0000
229,0;-4,9487
228,0;10,0000
227,0;-4,2722
226,0;-4,4716
225,0;10,0000
224,0;-4,7029
223,0;-4,2078
222,0;10,0000
221,0;10,0000
220,0;10,0000
219,0;-4,4572
218,0;-4,4019
217,0;10,0000
216,0;-4,5392
215,0;10,0000
214,0;-3,7424
213,0;10,0000
212,0;10,0000
211,0;-4,8982
210,0;-4,2344
209,0;-3,6897
208,0;10,0000
207,0;10,0000
206,0;10,0000
205,0;-4,2438
204,0;10,0000
203,0;-3,3001
202,0;-4,4779
201,0;10,0000
200,0;-4,7049
