Created as New Dataset;
nm;A
700,0;-3,4114
699,0;-3,4172
698,0;-3,4121
697,0;-3,4126
696,0;-3,4082
695,0;-3,4138
694,0;-3,4015
693,0;-3,4118
692,0;-3,4149
691,0;-3,3911
690,0;-3,4007
689,0;-3,4090
688,0;-3,4178
687,0;-3,4119
686,0;-3,4182
685,0;-3,4108
684,0;-3,4116
683,0;-3,4113
682,0;-3,3945
681,0;-3,4089
680,0;-3,4079
679,0;-3,4104
678,0;-3,4180
677,0;-3,4214
676,0;-3,4226
675,0;-3,3863
674,0;-3,3925
673,0;-3,4145
672,0;-3,4128
671,0;-3,4153
670,0;-3,4134
669,0;-3,4070
668,0;-3,4096
667,0;-3,3793
666,0;-3,3990
665,0;-3,4177
664,0;-3,4118
663,0;-3,4219
662,0;-3,4244
661,0;-3,4156
660,0;-3,4154
659,0;-3,4091
658,0;-3,4052
657,0;-3,4161
656,0;-3,4248
655,0;-3,4044
654,0;-3,4325
653,0;-3,4197
652,0;-3,4195
651,0;-3,3960
650,0;-3,4036
649,0;-3,4130
648,0;-3,4193
647,0;-3,4231
646,0;-3,4261
645,0;-3,4118
644,0;-3,4241
643,0;-3,4010
642,0;-3,4034
641,0;-3,4208
640,0;-3,4178
639,0;-3,4342
638,0;-3,4307
637,0;-3,4173
636,0;-3,4181
635,0;-3,4087
634,0;-3,4081
633,0;-3,4306
632,0;-3,4218
631,0;-3,4248
630,0;-3,4232
629,0;-3,4265
628,0;-3,4253
627,0;-3,4147
626,0;-3,4064
625,0;-3,4258
624,0;-3,4260
623,0;-3,4237
622,0;-3,4227
621,0;-3,4190
620,0;-3,4248
619,0;-3,4051
618,0;-3,4064
617,0;-3,4208
616,0;-3,4190
615,0;-3,4245
614,0;-3,4221
613,0;-3,4182
612,0;-3,4292
611,0;-3,4174
610,0;-3,4027
609,0;-3,4209
608,0;-3,4191
607,0;-3,4140
606,0;-3,4186
605,0;-3,4204
604,0;-3,4136
603,0;-3,4058
602,0;-3,3967
601,0;-3,4193
600,0;-3,4158
599,0;-3,4132
598,0;-3,4067
597,0;-3,4117
596,0;-3,4175
595,0;-3,4024
594,0;-3,4007
593,0;-3,4051
592,0;-3,4135
591,0;-3,4219
590,0;-3,4023
589,0;-3,4170
588,0;-3,4178
587,0;-3,3922
586,0;-3,4022
585,0;-3,4156
584,0;-3,4060
583,0;-3,4077
582,0;-3,4159
581,0;-3,4133
580,0;-3,4112
579,0;-3,3928
578,0;-3,3988
577,0;-3,4190
576,0;-3,4146
575,0;-3,4246
574,0;-3,4178
573,0;-3,4308
572,0;-3,4092
571,0;-3,3974
570,0;-3,3945
569,0;-3,4131
568,0;-3,4102
567,0;-3,4070
566,0;-3,4155
565,0;-3,4201
564,0;-3,4192
563,0;-3,3926
562,0;-3,3948
561,0;-3,4146
560,0;-3,4198
559,0;-3,4049
558,0;-3,4300
557,0;-3,4276
556,0;-3,4165
555,0;-3,4211
554,0;-3,4027
553,0;-3,4219
552,0;-3,4223
551,0;-3,4306
550,0;-3,4193
549,0;-3,4360
548,0;-3,4190
547,0;-3,4186
546,0;-3,4012
545,0;-3,4243
544,0;-3,4353
543,0;-3,4109
542,0;-3,4382
541,0;-3,4170
540,0;-3,4270
539,0;-3,3951
538,0;-3,4171
537,0;-3,4224
536,0;-3,4269
535,0;-3,4298
534,0;-3,4146
533,0;-3,4360
532,0;-3,4329
531,0;-3,3921
530,0;-3,4141
529,0;-3,4309
528,0;-3,4268
527,0;-3,4305
526,0;-3,4339
525,0;-3,4271
524,0;-3,4277
523,0;-3,4179
522,0;-3,4172
521,0;-3,4270
520,0;-3,4291
519,0;-3,4279
518,0;-3,4274
517,0;-3,4381
516,0;-3,4288
515,0;-3,4091
514,0;-3,4019
513,0;-3,4348
512,0;-3,4341
511,0;-3,4475
510,0;-3,4281
509,0;-3,4302
508,0;-3,4320
507,0;-3,4181
506,0;-3,4315
505,0;-3,4332
504,0;-3,4211
503,0;-3,4331
502,0;-3,4370
501,0;-3,4205
500,0;-3,4417
499,0;-3,4175
498,0;-3,4092
497,0;-3,4399
496,0;-3,4315
495,0;-3,4297
494,0;-3,4329
493,0;-3,4217
492,0;-3,4360
491,0;-3,4208
490,0;-3,4100
489,0;-3,4291
488,0;-3,4376
487,0;-3,4348
486,0;-3,4310
485,0;-3,4208
484,0;-3,4160
483,0;-3,4078
482,0;-3,4212
481,0;-3,4327
480,0;-3,4241
479,0;-3,4099
478,0;-3,4451
477,0;-3,4245
476,0;-3,4344
475,0;-3,3936
474,0;-3,4251
473,0;-3,4371
472,0;-3,4272
471,0;-3,4197
470,0;-3,4315
469,0;-3,4302
468,0;-3,4319
467,0;-3,3905
466,0;-3,4091
465,0;-3,4174
464,0;-3,4368
463,0;-3,4436
462,0;-3,4137
461,0;-3,4284
460,0;-3,4189
459,0;-3,3975
458,0;-3,4087
457,0;-3,4158
456,0;-3,4383
455,0;-3,4517
454,0;-3,4193
453,0;-3,4168
452,0;-3,4130
451,0;-3,4088
450,0;-3,3593
449,0;-3,4129
448,0;-3,4075
447,0;-3,4369
446,0;-3,4253
445,0;-3,4383
444,0;-3,4258
443,0;-3,4086
442,0;-3,3823
441,0;-3,4285
440,0;-3,4346
439,0;-3,4346
438,0;-3,4603
437,0;-3,4095
436,0;-3,4344
435,0;-3,3812
434,0;-3,4032
433,0;-3,4188
432,0;-3,4375
431,0;-3,4332
430,0;-3,4296
429,0;-3,4444
428,0;-3,4500
427,0;-3,3847
426,0;-3,4012
425,0;-3,4270
424,0;-3,4235
423,0;-3,4085
422,0;-3,4416
421,0;-3,4818
420,0;-3,4773
419,0;-3,4625
418,0;-3,4555
417,0;-3,4862
416,0;-3,4870
415,0;-3,4834
414,0;-3,4907
413,0;-3,4748
412,0;-3,5041
411,0;-3,4578
410,0;-3,4750
409,0;-3,4886
408,0;-3,4970
407,0;-3,4848
406,0;-3,5053
405,0;-3,5146
404,0;-3,4974
403,0;-3,4642
402,0;-3,4810
401,0;-3,5077
400,0;-3,4872
399,0;-3,4914
398,0;-3,4818
397,0;-3,4809
396,0;-3,4826
395,0;-3,4819
394,0;-3,4662
393,0;-3,4846
392,0;-3,4933
391,0;-3,4844
390,0;-3,4973
389,0;-3,4705
388,0;-3,4921
387,0;-3,4529
386,0;-3,4634
385,0;-3,4914
384,0;-3,6154
383,0;-3,3059
382,0;-3,5847
381,0;-3,4202
380,0;-3,7163
379,0;-3,4416
378,0;-3,5121
377,0;-3,5800
376,0;-3,4843
375,0;-3,5725
374,0;-3,5194
373,0;-3,5816
372,0;-3,5234
371,0;-3,4660
370,0;-3,4605
369,0;-3,5476
368,0;-3,5445
367,0;-3,4974
366,0;-3,5122
365,0;-3,5535
364,0;-3,4981
363,0;-3,4129
362,0;-3,4515
361,0;-3,5262
360,0;-3,5169
359,0;-3,4942
358,0;-3,5324
357,0;-3,4966
356,0;-3,4969
355,0;-3,4075
354,0;-3,4614
353,0;-3,5218
352,0;-3,4811
351,0;-3,4954
350,0;-3,4640
349,0;-3,4834
348,0;-3,5308
347,0;-3,3716
346,0;-3,4192
345,0;-3,5329
344,0;-3,5209
343,0;-3,4838
342,0;-3,5108
341,0;-3,3861
340,0;-3,4520
339,0;-3,4431
338,0;-3,3614
337,0;-3,4187
336,0;-3,4288
335,0;-3,4925
334,0;-3,4821
333,0;-3,5069
332,0;-3,5009
331,0;-3,4154
330,0;-3,2962
329,0;-3,5434
328,0;-3,5152
327,0;-3,4679
326,0;-3,4922
325,0;-3,5282
324,0;-3,5047
323,0;-3,3895
322,0;-3,4526
321,0;-3,5901
320,0;-3,5113
319,0;-3,5828
318,0;-3,4767
317,0;-3,5466
316,0;-3,5361
315,0;-3,3839
314,0;-3,4525
313,0;-3,5546
312,0;-3,5313
311,0;-3,5245
310,0;-3,5104
309,0;-3,5224
308,0;-3,6115
307,0;-3,3860
306,0;-3,4565
305,0;-3,5922
304,0;-3,5859
303,0;-3,6099
302,0;-3,6293
301,0;-3,5148
300,0;-3,6462
299,0;-3,5043
298,0;-3,4531
297,0;-3,5755
296,0;-3,6027
295,0;-3,5533
294,0;-3,5870
293,0;-3,8589
292,0;-3,6459
291,0;-3,4653
290,0;-3,5341
289,0;-3,6536
288,0;-3,6599
287,0;-3,6707
286,0;-3,6831
285,0;-3,6712
284,0;-3,6643
283,0;-3,5474
282,0;-3,5157
281,0;-3,6139
280,0;-3,7988
279,0;-3,6822
278,0;-3,8526
277,0;-3,7191
276,0;-3,6569
275,0;-3,5100
274,0;-3,5573
273,0;-3,7308
272,0;-3,6575
271,0;-3,8869
270,0;-3,7251
269,0;-3,7007
268,0;-3,7340
267,0;-3,6708
266,0;-3,7141
265,0;-3,7437
264,0;-3,7852
263,0;-3,7314
262,0;-3,7779
261,0;-3,7548
260,0;-3,9202
259,0;-3,6627
258,0;-3,6461
257,0;-3,9574
256,0;-3,8230
255,0;-3,8504
254,0;-3,8483
253,0;-3,8196
252,0;-3,9221
251,0;-3,7844
250,0;-3,8146
249,0;-3,9988
248,0;-4,0956
247,0;-4,0859
