Created as New Dataset;
nm;A
700,0;-0,0000
699,0;-0,0000
698,0;-0,0001
697,0;-0,0001
696,0;-0,0001
695,0;-0,0001
694,0;-0,0001
693,0;-0,0001
692,0;-0,0001
691,0;-0,0001
690,0;-0,0000
689,0;-0,0001
688,0;-0,0001
687,0;-0,0001
686,0;-0,0001
685,0;-0,0001
684,0;-0,0001
683,0;-0,0000
682,0;0,0000
681,0;-0,0001
680,0;0,0001
679,0;-0,0001
678,0;-0,0000
677,0;-0,0001
676,0;-0,0001
675,0;-0,0001
674,0;-0,0000
673,0;-0,0000
672,0;-0,0001
671,0;-0,0001
670,0;-0,0000
669,0;-0,0001
668,0;-0,0001
667,0;-0,0001
666,0;-0,0000
665,0;-0,0001
664,0;0,0000
663,0;-0,0001
662,0;0,0000
661,0;-0,0001
660,0;-0,0000
659,0;-0,0001
658,0;-0,0000
657,0;-0,0001
656,0;-0,0001
655,0;-0,0000
654,0;-0,0001
653,0;-0,0000
652,0;-0,0001
651,0;-0,0001
650,0;-0,0001
649,0;-0,0001
648,0;-0,0001
647,0;-0,0001
646,0;-0,0001
645,0;-0,0000
644,0;-0,0001
643,0;-0,0001
642,0;-0,0001
641,0;-0,0001
640,0;-0,0000
639,0;-0,0001
638,0;-0,0001
637,0;-0,0001
636,0;-0,0001
635,0;-0,0001
634,0;-0,0001
633,0;-0,0001
632,0;-0,0001
631,0;-0,0001
630,0;-0,0001
629,0;-0,0001
628,0;-0,0001
627,0;-0,0001
626,0;-0,0001
625,0;-0,0001
624,0;-0,0001
623,0;-0,0001
622,0;-0,0001
621,0;-0,0001
620,0;-0,0001
619,0;-0,0001
618,0;-0,0001
617,0;-0,0001
616,0;-0,0001
615,0;-0,0001
614,0;-0,0001
613,0;-0,0001
612,0;-0,0002
611,0;-0,0001
610,0;-0,0001
609,0;-0,0001
608,0;-0,0001
607,0;-0,0001
606,0;-0,0001
605,0;-0,0000
604,0;-0,0001
603,0;-0,0001
602,0;-0,0001
601,0;-0,0001
600,0;-0,0001
599,0;-0,0002
598,0;-0,0000
597,0;-0,0001
596,0;-0,0001
595,0;-0,0001
594,0;-0,0001
593,0;-0,0001
592,0;-0,0001
591,0;-0,0001
590,0;-0,0001
589,0;-0,0000
588,0;-0,0001
587,0;-0,0001
586,0;-0,0001
585,0;-0,0001
584,0;-0,0000
583,0;-0,0001
582,0;-0,0001
581,0;-0,0001
580,0;-0,0001
579,0;-0,0002
578,0;-0,0001
577,0;-0,0001
576,0;-0,0002
575,0;-0,0002
574,0;-0,0001
573,0;-0,0001
572,0;-0,0002
571,0;-0,0002
570,0;-0,0002
569,0;-0,0001
568,0;-0,0002
567,0;-0,0001
566,0;-0,0001
565,0;-0,0002
564,0;-0,0001
563,0;-0,0002
562,0;-0,0002
561,0;-0,0002
560,0;-0,0002
559,0;-0,0001
558,0;-0,0002
557,0;-0,0001
556,0;-0,0002
555,0;-0,0002
554,0;-0,0002
553,0;-0,0001
552,0;-0,0002
551,0;-0,0002
550,0;-0,0001
549,0;-0,0001
548,0;-0,0002
547,0;-0,0002
546,0;-0,0002
545,0;-0,0002
544,0;-0,0002
543,0;-0,0001
542,0;-0,0002
541,0;-0,0002
540,0;-0,0002
