Created as New Dataset;
nm;A
700,0;-0,0089
699,0;-0,0089
698,0;-0,0089
697,0;-0,0091
696,0;-0,0091
695,0;-0,0091
694,0;-0,0091
693,0;-0,0092
692,0;-0,0093
691,0;-0,0093
690,0;-0,0094
689,0;-0,0094
688,0;-0,0095
687,0;-0,0095
686,0;-0,0096
685,0;-0,0097
684,0;-0,0097
683,0;-0,0097
682,0;-0,0097
681,0;-0,0097
680,0;-0,0098
679,0;-0,0099
678,0;-0,0099
677,0;-0,0101
676,0;-0,0100
675,0;-0,0101
674,0;-0,0101
673,0;-0,0101
672,0;-0,0103
671,0;-0,0102
670,0;-0,0103
669,0;-0,0103
668,0;-0,0105
667,0;-0,0104
666,0;-0,0104
665,0;-0,0105
664,0;-0,0105
663,0;-0,0106
662,0;-0,0106
661,0;-0,0107
660,0;-0,0107
659,0;-0,0108
658,0;-0,0108
657,0;-0,0109
656,0;-0,0110
655,0;-0,0109
654,0;-0,0111
653,0;-0,0111
652,0;-0,0112
651,0;-0,0112
650,0;-0,0112
649,0;-0,0113
648,0;-0,0113
647,0;-0,0114
646,0;-0,0114
645,0;-0,0115
644,0;-0,0116
643,0;-0,0116
642,0;-0,0117
641,0;-0,0117
640,0;-0,0118
639,0;-0,0119
638,0;-0,0119
637,0;-0,0119
636,0;-0,0119
635,0;-0,0120
634,0;-0,0121
633,0;-0,0121
632,0;-0,0122
631,0;-0,0123
630,0;-0,0123
629,0;-0,0124
628,0;-0,0125
627,0;-0,0126
626,0;-0,0125
625,0;-0,0126
624,0;-0,0127
623,0;-0,0127
622,0;-0,0129
621,0;-0,0129
620,0;-0,0130
619,0;-0,0131
618,0;-0,0131
617,0;-0,0132
616,0;-0,0132
615,0;-0,0133
614,0;-0,0133
613,0;-0,0135
612,0;-0,0135
611,0;-0,0136
610,0;-0,0136
609,0;-0,0137
608,0;-0,0137
607,0;-0,0138
606,0;-0,0138
605,0;-0,0139
604,0;-0,0140
603,0;-0,0141
602,0;-0,0141
601,0;-0,0142
600,0;-0,0142
599,0;-0,0144
598,0;-0,0144
597,0;-0,0145
596,0;-0,0146
595,0;-0,0147
594,0;-0,0148
593,0;-0,0148
592,0;-0,0150
591,0;-0,0151
590,0;-0,0152
589,0;-0,0153
588,0;-0,0154
587,0;-0,0154
586,0;-0,0155
585,0;-0,0156
584,0;-0,0157
583,0;-0,0159
582,0;-0,0160
581,0;-0,0161
580,0;-0,0162
579,0;-0,0163
578,0;-0,0164
577,0;-0,0165
576,0;-0,0167
575,0;-0,0168
574,0;-0,0168
573,0;-0,0170
572,0;-0,0171
571,0;-0,0173
570,0;-0,0174
569,0;-0,0175
568,0;-0,0176
567,0;-0,0178
566,0;-0,0179
565,0;-0,0181
564,0;-0,0182
563,0;-0,0183
562,0;-0,0185
561,0;-0,0187
560,0;-0,0188
559,0;-0,0190
558,0;-0,0191
557,0;-0,0192
556,0;-0,0194
555,0;-0,0195
554,0;-0,0197
553,0;-0,0200
552,0;-0,0201
551,0;-0,0203
550,0;-0,0204
549,0;-0,0206
548,0;-0,0209
547,0;-0,0211
546,0;-0,0212
545,0;-0,0214
544,0;-0,0216
543,0;-0,0218
542,0;-0,0220
541,0;-0,0223
540,0;-0,0225
539,0;-0,0227
538,0;-0,0229
537,0;-0,0232
536,0;-0,0234
535,0;-0,0236
534,0;-0,0238
533,0;-0,0241
532,0;-0,0243
531,0;-0,0245
530,0;-0,0248
529,0;-0,0250
528,0;-0,0252
527,0;-0,0255
526,0;-0,0258
525,0;-0,0260
524,0;-0,0263
523,0;-0,0266
522,0;-0,0267
521,0;-0,0271
520,0;-0,0273
519,0;-0,0276
518,0;-0,0279
517,0;-0,0281
516,0;-0,0284
515,0;-0,0287
514,0;-0,0290
513,0;-0,0292
512,0;-0,0295
511,0;-0,0298
510,0;-0,0300
509,0;-0,0304
508,0;-0,0306
507,0;-0,0310
506,0;-0,0313
505,0;-0,0316
504,0;-0,0319
503,0;-0,0322
502,0;-0,0325
501,0;-0,0327
500,0;-0,0332
499,0;-0,0333
498,0;-0,0336
497,0;-0,0341
496,0;-0,0343
495,0;-0,0347
494,0;-0,0350
493,0;-0,0353
492,0;-0,0356
491,0;-0,0360
490,0;-0,0362
489,0;-0,0366
488,0;-0,0369
487,0;-0,0372
486,0;-0,0376
485,0;-0,0380
484,0;-0,0382
483,0;-0,0384
482,0;-0,0387
481,0;-0,0390
480,0;-0,0392
479,0;-0,0394
478,0;-0,0397
477,0;-0,0399
476,0;-0,0402
475,0;-0,0404
474,0;-0,0408
473,0;-0,0410
472,0;-0,0413
471,0;-0,0414
470,0;-0,0418
469,0;-0,0421
468,0;-0,0423
467,0;-0,0426
466,0;-0,0429
465,0;-0,0432
464,0;-0,0435
463,0;-0,0440
462,0;-0,0443
461,0;-0,0446
460,0;-0,0450
459,0;-0,0453
458,0;-0,0459
457,0;-0,0462
456,0;-0,0468
455,0;-0,0471
454,0;-0,0477
453,0;-0,0480
452,0;-0,0487
451,0;-0,0491
450,0;-0,0497
449,0;-0,0502
448,0;-0,0508
447,0;-0,0515
446,0;-0,0522
445,0;-0,0529
444,0;-0,0534
443,0;-0,0542
442,0;-0,0550
441,0;-0,0556
440,0;-0,0563
439,0;-0,0573
438,0;-0,0581
437,0;-0,0588
436,0;-0,0597
435,0;-0,0605
434,0;-0,0614
433,0;-0,0623
432,0;-0,0631
431,0;-0,0639
430,0;-0,0651
429,0;-0,0660
428,0;-0,0670
427,0;-0,0679
426,0;-0,0688
425,0;-0,0698
424,0;-0,0707
423,0;-0,0716
422,0;-0,0722
421,0;-0,0732
420,0;-0,0741
419,0;-0,0750
418,0;-0,0758
417,0;-0,0767
416,0;-0,0776
415,0;-0,0785
414,0;-0,0794
413,0;-0,0803
412,0;-0,0811
411,0;-0,0820
410,0;-0,0829
409,0;-0,0839
408,0;-0,0848
407,0;-0,0857
406,0;-0,0866
405,0;-0,0875
404,0;-0,0886
403,0;-0,0895
402,0;-0,0906
401,0;-0,0915
400,0;-0,0924
399,0;-0,0935
398,0;-0,0949
397,0;-0,0959
396,0;-0,0969
395,0;-0,0982
394,0;-0,0992
393,0;-0,1003
392,0;-0,1015
391,0;-0,1027
390,0;-0,1040
389,0;-0,1053
388,0;-0,1066
387,0;-0,1078
386,0;-0,1091
385,0;-0,1103
384,0;-0,1121
383,0;-0,1139
382,0;-0,1151
381,0;-0,1163
380,0;-0,1175
379,0;-0,1186
378,0;-0,1197
377,0;-0,1209
376,0;-0,1220
375,0;-0,1229
374,0;-0,1237
373,0;-0,1247
372,0;-0,1256
371,0;-0,1265
370,0;-0,1272
369,0;-0,1279
368,0;-0,1287
367,0;-0,1294
366,0;-0,1300
365,0;-0,1305
364,0;-0,1311
363,0;-0,1317
362,0;-0,1322
361,0;-0,1328
360,0;-0,1331
359,0;-0,1336
358,0;-0,1340
357,0;-0,1343
356,0;-0,1348
355,0;-0,1351
354,0;-0,1354
353,0;-0,1359
352,0;-0,1362
351,0;-0,1365
350,0;-0,1368
349,0;-0,1370
348,0;-0,1375
347,0;-0,1380
346,0;-0,1384
345,0;-0,1388
344,0;-0,1391
343,0;-0,1394
342,0;-0,1397
341,0;-0,1402
340,0;-0,1404
339,0;-0,1409
338,0;-0,1414
337,0;-0,1419
336,0;-0,1423
335,0;-0,1430
334,0;-0,1436
