Created as New Dataset;
cm-1;%T
4000,00;101,76
3999,50;101,74
3999,00;101,72
3998,50;101,70
3998,00;101,70
3997,50;101,70
3997,00;101,72
3996,50;101,73
3996,00;101,75
3995,50;101,76
3995,00;101,77
3994,50;101,79
3994,00;101,81
3993,50;101,84
3993,00;101,86
3992,50;101,87
3992,00;101,87
3991,50;101,87
3991,00;101,86
3990,50;101,85
3990,00;101,84
3989,50;101,82
3989,00;101,80
3988,50;101,79
3988,00;101,79
3987,50;101,80
3987,00;101,81
3986,50;101,82
3986,00;101,83
3985,50;101,84
3985,00;101,85
3984,50;101,84
3984,00;101,83
3983,50;101,83
3983,00;101,84
3982,50;101,86
3982,00;101,86
3981,50;101,82
3981,00;101,76
3980,50;101,72
3980,00;101,71
3979,50;101,74
3979,00;101,78
3978,50;101,80
3978,00;101,82
3977,50;101,83
3977,00;101,84
3976,50;101,85
3976,00;101,83
3975,50;101,80
3975,00;101,78
3974,50;101,78
3974,00;101,80
3973,50;101,83
3973,00;101,85
3972,50;101,87
3972,00;101,88
3971,50;101,89
3971,00;101,89
3970,50;101,88
3970,00;101,87
3969,50;101,87
3969,00;101,89
3968,50;101,92
3968,00;101,95
3967,50;101,96
3967,00;101,96
3966,50;101,95
3966,00;101,93
3965,50;101,91
3965,00;101,90
3964,50;101,90
3964,00;101,91
3963,50;101,92
3963,00;101,94
3962,50;101,93
3962,00;101,91
3961,50;101,88
3961,00;101,84
3960,50;101,82
3960,00;101,80
3959,50;101,81
3959,00;101,83
3958,50;101,85
3958,00;101,87
3957,50;101,89
3957,00;101,90
3956,50;101,90
3956,00;101,88
3955,50;101,86
3955,00;101,85
3954,50;101,85
3954,00;101,87
3953,50;101,89
3953,00;101,92
3952,50;101,94
3952,00;101,97
3951,50;102,00
3951,00;102,01
3950,50;102,00
3950,00;101,97
3949,50;101,94
3949,00;101,93
3948,50;101,95
3948,00;101,97
3947,50;101,98
3947,00;101,97
3946,50;101,96
3946,00;101,97
3945,50;101,99
3945,00;102,01
3944,50;102,03
3944,00;102,03
3943,50;102,02
3943,00;101,99
3942,50;101,96
3942,00;101,91
3941,50;101,88
3941,00;101,88
3940,50;101,90
3940,00;101,95
3939,50;101,99
3939,00;102,02
3938,50;102,03
3938,00;102,04
3937,50;102,04
3937,00;102,04
3936,50;102,06
3936,00;102,09
3935,50;102,12
3935,00;102,12
3934,50;102,10
3934,00;102,07
3933,50;102,05
3933,00;102,04
3932,50;102,04
3932,00;102,05
3931,50;102,06
3931,00;102,07
3930,50;102,08
3930,00;102,08
3929,50;102,06
3929,00;102,04
3928,50;102,03
3928,00;102,03
3927,50;102,02
3927,00;102,02
3926,50;102,01
3926,00;102,00
3925,50;101,98
3925,00;101,98
3924,50;101,98
3924,00;101,98
3923,50;101,98
3923,00;101,97
3922,50;101,96
3922,00;101,95
3921,50;101,96
3921,00;101,99
3920,50;102,04
3920,00;102,07
3919,50;102,07
3919,00;102,06
3918,50;102,05
3918,00;102,07
3917,50;102,11
3917,00;102,15
3916,50;102,15
3916,00;102,13
3915,50;102,10
3915,00;102,07
3914,50;102,05
3914,00;102,03
3913,50;102,01
3913,00;102,02
3912,50;102,04
3912,00;102,07
3911,50;102,08
3911,00;102,09
3910,50;102,07
3910,00;102,05
3909,50;102,03
3909,00;102,02
3908,50;102,03
3908,00;102,05
3907,50;102,08
3907,00;102,13
3906,50;102,19
3906,00;102,24
3905,50;102,26
3905,00;102,25
3904,50;102,21
3904,00;102,17
3903,50;102,12
3903,00;102,07
3902,50;102,07
3902,00;102,11
3901,50;102,17
3901,00;102,21
3900,50;102,22
3900,00;102,22
3899,50;102,20
3899,00;102,16
3898,50;102,10
3898,00;102,05
3897,50;102,03
3897,00;102,03
3896,50;102,05
3896,00;102,06
3895,50;102,07
3895,00;102,08
3894,50;102,10
3894,00;102,14
3893,50;102,16
3893,00;102,15
3892,50;102,12
3892,00;102,09
3891,50;102,08
3891,00;102,08
3890,50;102,08
3890,00;102,07
3889,50;102,07
3889,00;102,08
3888,50;102,11
3888,00;102,13
3887,50;102,15
3887,00;102,16
3886,50;102,19
3886,00;102,21
3885,50;102,20
3885,00;102,18
3884,50;102,17
3884,00;102,19
3883,50;102,21
3883,00;102,22
3882,50;102,20
3882,00;102,19
3881,50;102,19
3881,00;102,23
3880,50;102,26
3880,00;102,24
3879,50;102,17
3879,00;102,10
3878,50;102,07
3878,00;102,08
3877,50;102,13
3877,00;102,18
3876,50;102,20
3876,00;102,19
3875,50;102,17
3875,00;102,16
3874,50;102,18
3874,00;102,21
3873,50;102,22
3873,00;102,22
3872,50;102,23
3872,00;102,25
3871,50;102,26
3871,00;102,25
3870,50;102,24
3870,00;102,24
3869,50;102,24
3869,00;102,21
3868,50;102,18
3868,00;102,15
3867,50;102,14
3867,00;102,15
3866,50;102,15
3866,00;102,16
3865,50;102,19
3865,00;102,25
3864,50;102,30
3864,00;102,30
3863,50;102,26
3863,00;102,19
3862,50;102,13
3862,00;102,10
3861,50;102,08
3861,00;102,08
3860,50;102,09
3860,00;102,12
3859,50;102,17
3859,00;102,20
3858,50;102,21
3858,00;102,20
3857,50;102,20
3857,00;102,21
3856,50;102,23
3856,00;102,24
3855,50;102,22
3855,00;102,19
