Created as New Dataset;
nm;A
700,0;-0,1446
699,0;-0,1448
698,0;-0,1451
697,0;-0,1455
696,0;-0,1459
695,0;-0,1461
694,0;-0,1463
693,0;-0,1467
692,0;-0,1471
691,0;-0,1473
690,0;-0,1477
689,0;-0,1481
688,0;-0,1484
687,0;-0,1487
686,0;-0,1490
685,0;-0,1494
684,0;-0,1496
683,0;-0,1500
682,0;-0,1503
681,0;-0,1507
680,0;-0,1510
679,0;-0,1514
678,0;-0,1517
677,0;-0,1520
676,0;-0,1523
675,0;-0,1527
674,0;-0,1530
673,0;-0,1533
672,0;-0,1537
671,0;-0,1540
670,0;-0,1543
669,0;-0,1547
668,0;-0,1551
667,0;-0,1555
666,0;-0,1558
665,0;-0,1562
664,0;-0,1566
663,0;-0,1569
662,0;-0,1573
661,0;-0,1577
660,0;-0,1581
659,0;-0,1585
658,0;-0,1588
657,0;-0,1592
656,0;-0,1596
655,0;-0,1600
654,0;-0,1603
653,0;-0,1607
652,0;-0,1610
651,0;-0,1614
650,0;-0,1618
649,0;-0,1621
648,0;-0,1626
647,0;-0,1630
646,0;-0,1634
645,0;-0,1637
644,0;-0,1641
643,0;-0,1646
642,0;-0,1650
641,0;-0,1654
640,0;-0,1659
639,0;-0,1664
638,0;-0,1668
637,0;-0,1673
636,0;-0,1677
635,0;-0,1682
634,0;-0,1687
633,0;-0,1691
632,0;-0,1696
631,0;-0,1702
630,0;-0,1707
629,0;-0,1713
628,0;-0,1718
627,0;-0,1723
626,0;-0,1729
625,0;-0,1733
624,0;-0,1740
623,0;-0,1744
622,0;-0,1750
621,0;-0,1755
620,0;-0,1760
619,0;-0,1766
618,0;-0,1772
617,0;-0,1777
616,0;-0,1783
615,0;-0,1788
614,0;-0,1794
613,0;-0,1800
612,0;-0,1805
611,0;-0,1812
610,0;-0,1817
609,0;-0,1824
608,0;-0,1829
607,0;-0,1836
606,0;-0,1841
605,0;-0,1848
604,0;-0,1855
603,0;-0,1862
602,0;-0,1868
601,0;-0,1877
600,0;-0,1883
599,0;-0,1890
598,0;-0,1898
597,0;-0,1905
596,0;-0,1913
595,0;-0,1920
594,0;-0,1929
593,0;-0,1935
592,0;-0,1943
591,0;-0,1950
590,0;-0,1957
589,0;-0,1967
588,0;-0,1974
587,0;-0,1983
586,0;-0,1991
585,0;-0,2000
584,0;-0,2009
583,0;-0,2019
582,0;-0,2028
581,0;-0,2037
580,0;-0,2047
579,0;-0,2057
578,0;-0,2066
577,0;-0,2076
576,0;-0,2087
575,0;-0,2098
574,0;-0,2107
573,0;-0,2119
572,0;-0,2130
571,0;-0,2142
570,0;-0,2154
569,0;-0,2164
568,0;-0,2177
567,0;-0,2189
566,0;-0,2201
565,0;-0,2214
564,0;-0,2226
563,0;-0,2239
562,0;-0,2254
561,0;-0,2269
560,0;-0,2283
559,0;-0,2297
558,0;-0,2309
557,0;-0,2324
556,0;-0,2339
555,0;-0,2354
554,0;-0,2370
553,0;-0,2386
552,0;-0,2404
551,0;-0,2419
550,0;-0,2435
549,0;-0,2453
548,0;-0,2471
547,0;-0,2489
546,0;-0,2508
545,0;-0,2526
544,0;-0,2546
543,0;-0,2565
542,0;-0,2586
541,0;-0,2606
540,0;-0,2626
539,0;-0,2648
538,0;-0,2668
537,0;-0,2690
536,0;-0,2711
535,0;-0,2732
534,0;-0,2755
533,0;-0,2777
532,0;-0,2800
531,0;-0,2822
530,0;-0,2845
529,0;-0,2869
528,0;-0,2891
527,0;-0,2916
526,0;-0,2939
525,0;-0,2964
524,0;-0,2987
523,0;-0,3012
522,0;-0,3037
521,0;-0,3063
520,0;-0,3087
519,0;-0,3114
518,0;-0,3141
517,0;-0,3166
516,0;-0,3191
515,0;-0,3218
514,0;-0,3245
513,0;-0,3272
512,0;-0,3299
511,0;-0,3328
510,0;-0,3354
509,0;-0,3382
508,0;-0,3409
507,0;-0,3437
506,0;-0,3465
505,0;-0,3493
504,0;-0,3522
503,0;-0,3549
502,0;-0,3578
501,0;-0,3606
500,0;-0,3635
499,0;-0,3663
498,0;-0,3692
497,0;-0,3723
496,0;-0,3751
495,0;-0,3781
494,0;-0,3812
493,0;-0,3841
492,0;-0,3871
491,0;-0,3900
490,0;-0,3932
489,0;-0,3962
488,0;-0,3991
487,0;-0,4019
486,0;-0,4046
485,0;-0,4073
484,0;-0,4098
483,0;-0,4123
482,0;-0,4147
481,0;-0,4170
480,0;-0,4191
479,0;-0,4211
478,0;-0,4231
477,0;-0,4251
476,0;-0,4272
475,0;-0,4291
474,0;-0,4312
473,0;-0,4334
472,0;-0,4355
471,0;-0,4378
470,0;-0,4403
469,0;-0,4428
468,0;-0,4453
467,0;-0,4480
466,0;-0,4508
465,0;-0,4538
464,0;-0,4567
463,0;-0,4600
462,0;-0,4633
461,0;-0,4667
460,0;-0,4702
459,0;-0,4738
458,0;-0,4777
457,0;-0,4816
456,0;-0,4857
455,0;-0,4900
454,0;-0,4945
453,0;-0,4991
452,0;-0,5040
451,0;-0,5088
450,0;-0,5138
449,0;-0,5191
448,0;-0,5245
447,0;-0,5302
446,0;-0,5360
445,0;-0,5422
444,0;-0,5483
443,0;-0,5548
442,0;-0,5616
441,0;-0,5684
440,0;-0,5755
439,0;-0,5826
438,0;-0,5901
437,0;-0,5972
436,0;-0,6047
435,0;-0,6122
434,0;-0,6199
433,0;-0,6274
432,0;-0,6351
431,0;-0,6427
430,0;-0,6508
429,0;-0,6587
428,0;-0,6667
427,0;-0,6746
426,0;-0,6827
425,0;-0,6907
424,0;-0,6986
423,0;-0,7065
422,0;-0,7136
421,0;-0,7208
420,0;-0,7283
419,0;-0,7358
418,0;-0,7433
417,0;-0,7505
416,0;-0,7578
415,0;-0,7652
414,0;-0,7725
413,0;-0,7798
412,0;-0,7870
411,0;-0,7942
410,0;-0,8015
409,0;-0,8088
408,0;-0,8161
407,0;-0,8233
406,0;-0,8308
405,0;-0,8381
404,0;-0,8456
403,0;-0,8532
402,0;-0,8609
401,0;-0,8688
400,0;-0,8765
399,0;-0,8847
398,0;-0,8931
397,0;-0,9016
396,0;-0,9102
395,0;-0,9190
394,0;-0,9279
393,0;-0,9373
392,0;-0,9464
391,0;-0,9558
390,0;-0,9652
389,0;-0,9747
388,0;-0,9845
387,0;-0,9940
386,0;-1,0038
385,0;-1,0132
384,0;-1,0272
383,0;-1,0415
382,0;-1,0511
381,0;-1,0604
380,0;-1,0696
379,0;-1,0779
378,0;-1,0861
377,0;-1,0947
376,0;-1,1024
375,0;-1,1101
374,0;-1,1170
373,0;-1,1232
372,0;-1,1292
371,0;-1,1345
370,0;-1,1405
369,0;-1,1456
368,0;-1,1502
367,0;-1,1544
366,0;-1,1583
365,0;-1,1616
364,0;-1,1649
363,0;-1,1673
362,0;-1,1701
361,0;-1,1727
360,0;-1,1748
359,0;-1,1768
358,0;-1,1782
357,0;-1,1795
356,0;-1,1810
355,0;-1,1813
354,0;-1,1826
353,0;-1,1838
352,0;-1,1846
351,0;-1,1855
350,0;-1,1859
349,0;-1,1869
348,0;-1,1871
347,0;-1,1877
346,0;-1,1890
345,0;-1,1906
344,0;-1,1908
343,0;-1,1921
342,0;-1,1934
341,0;-1,1947
340,0;-1,1963
339,0;-1,1974
338,0;-1,2000
337,0;-1,2024
336,0;-1,2053
335,0;-1,2078
334,0;-1,2111
333,0;-1,2147
332,0;-1,2179
331,0;-1,2209
330,0;-1,2249
329,0;-1,2292
328,0;-1,2334
327,0;-1,2440
326,0;-1,2474
325,0;-1,2538
324,0;-1,2583
323,0;-1,2621
322,0;-1,2684
321,0;-1,2736
320,0;-1,2791
319,0;-1,2835
318,0;-1,2894
317,0;-1,2950
316,0;-1,3007
315,0;-1,3047
314,0;-1,3115
313,0;-1,3166
312,0;-1,3214
311,0;-1,3262
310,0;-1,3305
309,0;-1,3348
308,0;-1,3388
307,0;-1,3423
306,0;-1,3453
305,0;-1,3486
304,0;-1,3511
303,0;-1,3537
302,0;-1,3556
301,0;-1,3581
300,0;-1,3597
299,0;-1,3612
298,0;-1,3630
297,0;-1,3658
296,0;-1,3682
295,0;-1,3714
294,0;-1,3748
293,0;-1,3782
292,0;-1,3828
291,0;-1,3868
290,0;-1,3922
289,0;-1,3984
288,0;-1,4045
287,0;-1,4105
286,0;-1,4169
285,0;-1,4234
284,0;-1,4304
283,0;-1,4350
282,0;-1,4434
281,0;-1,4512
280,0;-1,4589
279,0;-1,4667
278,0;-1,4735
