Created as New Dataset;
cm-1;%T
4000,00;104,38
3999,50;104,38
3999,00;104,38
3998,50;104,38
3998,00;104,38
3997,50;104,39
3997,00;104,40
3996,50;104,41
3996,00;104,41
3995,50;104,40
3995,00;104,39
3994,50;104,38
3994,00;104,39
3993,50;104,42
3993,00;104,43
3992,50;104,43
3992,00;104,42
3991,50;104,41
3991,00;104,40
3990,50;104,39
3990,00;104,37
3989,50;104,34
3989,00;104,33
3988,50;104,33
3988,00;104,34
3987,50;104,36
3987,00;104,38
3986,50;104,39
3986,00;104,39
3985,50;104,38
3985,00;104,38
3984,50;104,36
3984,00;104,34
3983,50;104,33
3983,00;104,35
3982,50;104,39
3982,00;104,41
3981,50;104,41
3981,00;104,39
3980,50;104,35
3980,00;104,32
3979,50;104,30
3979,00;104,31
3978,50;104,32
3978,00;104,34
3977,50;104,35
3977,00;104,35
3976,50;104,35
3976,00;104,34
3975,50;104,35
3975,00;104,36
3974,50;104,37
3974,00;104,38
3973,50;104,37
3973,00;104,35
3972,50;104,34
3972,00;104,34
3971,50;104,34
3971,00;104,35
3970,50;104,35
3970,00;104,36
3969,50;104,39
3969,00;104,44
3968,50;104,48
3968,00;104,49
3967,50;104,48
3967,00;104,44
3966,50;104,41
3966,00;104,39
3965,50;104,39
3965,00;104,40
3964,50;104,42
3964,00;104,43
3963,50;104,43
3963,00;104,43
3962,50;104,43
3962,00;104,41
3961,50;104,37
3961,00;104,33
3960,50;104,28
3960,00;104,25
3959,50;104,24
3959,00;104,24
3958,50;104,26
3958,00;104,28
3957,50;104,31
3957,00;104,33
3956,50;104,35
3956,00;104,35
3955,50;104,34
3955,00;104,33
3954,50;104,34
3954,00;104,36
3953,50;104,37
3953,00;104,36
3952,50;104,34
3952,00;104,32
3951,50;104,32
3951,00;104,32
3950,50;104,32
3950,00;104,31
3949,50;104,28
3949,00;104,27
3948,50;104,27
3948,00;104,30
3947,50;104,33
3947,00;104,32
3946,50;104,29
3946,00;104,27
3945,50;104,26
3945,00;104,29
3944,50;104,33
3944,00;104,38
3943,50;104,41
3943,00;104,42
3942,50;104,41
3942,00;104,36
3941,50;104,32
3941,00;104,30
3940,50;104,31
3940,00;104,33
3939,50;104,36
3939,00;104,35
3938,50;104,34
3938,00;104,32
3937,50;104,32
3937,00;104,33
3936,50;104,36
3936,00;104,39
3935,50;104,42
3935,00;104,44
3934,50;104,43
3934,00;104,39
3933,50;104,36
3933,00;104,34
3932,50;104,34
3932,00;104,35
3931,50;104,34
3931,00;104,32
3930,50;104,33
3930,00;104,36
3929,50;104,40
3929,00;104,41
3928,50;104,41
3928,00;104,40
3927,50;104,41
3927,00;104,41
3926,50;104,40
3926,00;104,37
3925,50;104,34
3925,00;104,32
3924,50;104,30
3924,00;104,29
3923,50;104,28
3923,00;104,27
3922,50;104,26
3922,00;104,25
3921,50;104,26
3921,00;104,28
3920,50;104,32
3920,00;104,35
3919,50;104,36
3919,00;104,35
3918,50;104,34
3918,00;104,33
3917,50;104,36
3917,00;104,39
3916,50;104,39
3916,00;104,37
3915,50;104,35
3915,00;104,34
3914,50;104,33
3914,00;104,33
3913,50;104,33
3913,00;104,33
3912,50;104,35
3912,00;104,36
3911,50;104,36
3911,00;104,34
3910,50;104,30
3910,00;104,27
3909,50;104,24
3909,00;104,24
3908,50;104,26
3908,00;104,30
3907,50;104,34
3907,00;104,37
3906,50;104,42
3906,00;104,45
3905,50;104,44
3905,00;104,37
3904,50;104,29
3904,00;104,23
3903,50;104,21
3903,00;104,21
3902,50;104,26
3902,00;104,33
3901,50;104,39
3901,00;104,40
3900,50;104,40
3900,00;104,42
3899,50;104,47
