Created as New Dataset;
nm;A
700,0;-0,0381
699,0;-0,0382
698,0;-0,0383
697,0;-0,0384
696,0;-0,0384
695,0;-0,0385
694,0;-0,0386
693,0;-0,0386
692,0;-0,0387
691,0;-0,0387
690,0;-0,0388
689,0;-0,0389
688,0;-0,0389
687,0;-0,0391
686,0;-0,0391
685,0;-0,0392
684,0;-0,0392
683,0;-0,0392
682,0;-0,0392
681,0;-0,0393
680,0;-0,0393
679,0;-0,0395
678,0;-0,0395
677,0;-0,0396
676,0;-0,0396
675,0;-0,0397
674,0;-0,0397
673,0;-0,0397
672,0;-0,0398
671,0;-0,0398
670,0;-0,0398
669,0;-0,0399
668,0;-0,0399
667,0;-0,0400
666,0;-0,0399
665,0;-0,0401
664,0;-0,0399
663,0;-0,0401
662,0;-0,0401
661,0;-0,0401
660,0;-0,0402
659,0;-0,0403
658,0;-0,0402
657,0;-0,0403
656,0;-0,0404
655,0;-0,0404
654,0;-0,0405
653,0;-0,0405
652,0;-0,0406
651,0;-0,0406
650,0;-0,0407
649,0;-0,0407
648,0;-0,0408
647,0;-0,0408
646,0;-0,0409
645,0;-0,0409
644,0;-0,0410
643,0;-0,0410
642,0;-0,0410
641,0;-0,0411
640,0;-0,0412
639,0;-0,0413
638,0;-0,0413
637,0;-0,0415
636,0;-0,0415
635,0;-0,0415
634,0;-0,0416
633,0;-0,0416
632,0;-0,0417
631,0;-0,0419
630,0;-0,0419
629,0;-0,0420
628,0;-0,0420
627,0;-0,0421
626,0;-0,0421
625,0;-0,0422
624,0;-0,0423
623,0;-0,0423
622,0;-0,0424
621,0;-0,0425
620,0;-0,0425
619,0;-0,0426
618,0;-0,0426
617,0;-0,0427
616,0;-0,0426
615,0;-0,0427
614,0;-0,0427
613,0;-0,0428
612,0;-0,0428
611,0;-0,0428
610,0;-0,0429
609,0;-0,0429
608,0;-0,0429
607,0;-0,0429
606,0;-0,0430
605,0;-0,0430
604,0;-0,0431
603,0;-0,0432
602,0;-0,0432
601,0;-0,0433
600,0;-0,0434
599,0;-0,0435
598,0;-0,0436
597,0;-0,0437
596,0;-0,0438
595,0;-0,0439
594,0;-0,0439
593,0;-0,0439
592,0;-0,0440
591,0;-0,0441
590,0;-0,0441
589,0;-0,0442
588,0;-0,0443
587,0;-0,0443
586,0;-0,0444
585,0;-0,0445
584,0;-0,0445
583,0;-0,0447
582,0;-0,0447
581,0;-0,0448
580,0;-0,0449
579,0;-0,0448
578,0;-0,0449
577,0;-0,0450
576,0;-0,0451
575,0;-0,0451
574,0;-0,0451
573,0;-0,0451
572,0;-0,0453
571,0;-0,0454
570,0;-0,0455
569,0;-0,0454
568,0;-0,0456
567,0;-0,0456
566,0;-0,0457
565,0;-0,0459
564,0;-0,0458
563,0;-0,0460
562,0;-0,0461
561,0;-0,0462
560,0;-0,0463
559,0;-0,0464
558,0;-0,0465
557,0;-0,0467
556,0;-0,0468
555,0;-0,0468
554,0;-0,0470
553,0;-0,0472
552,0;-0,0472
551,0;-0,0473
550,0;-0,0473
549,0;-0,0474
548,0;-0,0476
547,0;-0,0477
546,0;-0,0479
545,0;-0,0480
544,0;-0,0481
543,0;-0,0483
542,0;-0,0484
541,0;-0,0486
540,0;-0,0487
539,0;-0,0489
538,0;-0,0489
537,0;-0,0492
536,0;-0,0493
535,0;-0,0494
534,0;-0,0495
533,0;-0,0497
532,0;-0,0497
531,0;-0,0499
530,0;-0,0500
529,0;-0,0501
528,0;-0,0502
527,0;-0,0504
526,0;-0,0504
525,0;-0,0506
524,0;-0,0508
523,0;-0,0509
522,0;-0,0511
521,0;-0,0513
520,0;-0,0513
519,0;-0,0516
518,0;-0,0518
517,0;-0,0519
516,0;-0,0521
515,0;-0,0522
514,0;-0,0524
513,0;-0,0525
512,0;-0,0527
511,0;-0,0530
510,0;-0,0530
509,0;-0,0532
508,0;-0,0534
507,0;-0,0535
506,0;-0,0538
505,0;-0,0539
504,0;-0,0540
503,0;-0,0542
502,0;-0,0545
501,0;-0,0546
500,0;-0,0548
499,0;-0,0549
498,0;-0,0551
497,0;-0,0553
496,0;-0,0554
495,0;-0,0556
494,0;-0,0558
493,0;-0,0560
492,0;-0,0563
491,0;-0,0564
490,0;-0,0566
489,0;-0,0568
488,0;-0,0570
487,0;-0,0571
486,0;-0,0573
485,0;-0,0576
484,0;-0,0576
483,0;-0,0577
482,0;-0,0580
481,0;-0,0581
480,0;-0,0582
479,0;-0,0583
478,0;-0,0585
477,0;-0,0586
476,0;-0,0589
475,0;-0,0590
474,0;-0,0592
473,0;-0,0592
472,0;-0,0592
471,0;-0,0594
470,0;-0,0597
469,0;-0,0599
468,0;-0,0599
467,0;-0,0602
466,0;-0,0603
465,0;-0,0604
464,0;-0,0606
463,0;-0,0609
462,0;-0,0611
461,0;-0,0614
460,0;-0,0615
459,0;-0,0618
458,0;-0,0621
457,0;-0,0623
456,0;-0,0625
455,0;-0,0628
454,0;-0,0632
453,0;-0,0633
452,0;-0,0637
451,0;-0,0639
450,0;-0,0642
449,0;-0,0647
448,0;-0,0650
447,0;-0,0653
446,0;-0,0657
445,0;-0,0661
444,0;-0,0664
443,0;-0,0668
442,0;-0,0672
441,0;-0,0676
440,0;-0,0680
439,0;-0,0685
438,0;-0,0691
437,0;-0,0694
436,0;-0,0699
435,0;-0,0704
434,0;-0,0709
433,0;-0,0713
432,0;-0,0720
431,0;-0,0725
430,0;-0,0732
429,0;-0,0736
428,0;-0,0743
427,0;-0,0747
426,0;-0,0752
425,0;-0,0758
424,0;-0,0763
423,0;-0,0770
422,0;-0,0771
421,0;-0,0778
420,0;-0,0782
419,0;-0,0788
418,0;-0,0793
417,0;-0,0798
416,0;-0,0803
415,0;-0,0809
414,0;-0,0815
413,0;-0,0821
412,0;-0,0824
411,0;-0,0830
410,0;-0,0835
409,0;-0,0841
408,0;-0,0846
407,0;-0,0852
406,0;-0,0858
405,0;-0,0863
404,0;-0,0869
403,0;-0,0874
402,0;-0,0881
401,0;-0,0887
400,0;-0,0893
399,0;-0,0899
398,0;-0,0907
397,0;-0,0915
396,0;-0,0922
395,0;-0,0929
394,0;-0,0936
393,0;-0,0942
392,0;-0,0951
391,0;-0,0959
390,0;-0,0967
389,0;-0,0977
388,0;-0,0986
387,0;-0,0994
386,0;-0,1003
385,0;-0,1012
384,0;-0,1030
383,0;-0,1049
382,0;-0,1056
381,0;-0,1065
380,0;-0,1073
379,0;-0,1082
378,0;-0,1090
377,0;-0,1100
376,0;-0,1108
375,0;-0,1114
374,0;-0,1120
373,0;-0,1128
372,0;-0,1135
371,0;-0,1143
370,0;-0,1149
369,0;-0,1155
368,0;-0,1165
367,0;-0,1170
366,0;-0,1178
365,0;-0,1183
364,0;-0,1190
363,0;-0,1197
362,0;-0,1203
361,0;-0,1210
360,0;-0,1216
359,0;-0,1220
358,0;-0,1227
357,0;-0,1232
356,0;-0,1237
355,0;-0,1242
354,0;-0,1248
353,0;-0,1254
352,0;-0,1261
351,0;-0,1269
350,0;-0,1275
349,0;-0,1284
348,0;-0,1296
347,0;-0,1310
346,0;-0,1327
345,0;-0,1346
