Created as New Dataset;
cm-1;%T
4000,00;99,28
3999,50;99,28
3999,00;99,25
3998,50;99,21
3998,00;99,16
3997,50;99,12
3997,00;99,15
3996,50;99,19
3996,00;99,24
3995,50;99,28
3995,00;99,28
3994,50;99,28
3994,00;99,29
3993,50;99,31
3993,00;99,30
3992,50;99,28
3992,00;99,25
3991,50;99,23
3991,00;99,23
3990,50;99,25
3990,00;99,28
3989,50;99,28
3989,00;99,24
3988,50;99,19
3988,00;99,18
3987,50;99,18
3987,00;99,19
3986,50;99,21
3986,00;99,25
3985,50;99,28
3985,00;99,25
3984,50;99,22
3984,00;99,21
3983,50;99,22
3983,00;99,23
3982,50;99,26
3982,00;99,28
3981,50;99,28
3981,00;99,25
3980,50;99,22
3980,00;99,22
3979,50;99,22
3979,00;99,24
3978,50;99,27
3978,00;99,29
3977,50;99,28
3977,00;99,26
3976,50;99,25
3976,00;99,25
3975,50;99,24
3975,00;99,23
3974,50;99,24
3974,00;99,26
3973,50;99,27
3973,00;99,27
3972,50;99,28
3972,00;99,28
3971,50;99,27
3971,00;99,26
3970,50;99,24
3970,00;99,23
3969,50;99,25
3969,00;99,27
3968,50;99,30
3968,00;99,34
3967,50;99,36
3967,00;99,34
3966,50;99,31
3966,00;99,31
3965,50;99,33
3965,00;99,33
3964,50;99,33
3964,00;99,32
3963,50;99,29
3963,00;99,23
3962,50;99,22
3962,00;99,26
3961,50;99,29
3961,00;99,26
3960,50;99,22
3960,00;99,20
3959,50;99,18
3959,00;99,17
3958,50;99,20
3958,00;99,23
3957,50;99,24
3957,00;99,24
3956,50;99,26
3956,00;99,27
3955,50;99,24
3955,00;99,22
3954,50;99,25
3954,00;99,29
3953,50;99,31
3953,00;99,34
3952,50;99,37
3952,00;99,34
3951,50;99,27
3951,00;99,23
3950,50;99,23
3950,00;99,22
3949,50;99,16
3949,00;99,11
3948,50;99,09
3948,00;99,10
3947,50;99,13
3947,00;99,16
3946,50;99,17
3946,00;99,18
3945,50;99,22
3945,00;99,28
3944,50;99,32
3944,00;99,33
3943,50;99,32
3943,00;99,30
3942,50;99,24
3942,00;99,18
3941,50;99,16
3941,00;99,17
3940,50;99,21
3940,00;99,30
3939,50;99,37
3939,00;99,37
3938,50;99,32
3938,00;99,31
3937,50;99,34
3937,00;99,35
3936,50;99,34
3936,00;99,35
3935,50;99,39
3935,00;99,39
3934,50;99,35
3934,00;99,30
3933,50;99,26
3933,00;99,23
3932,50;99,23
3932,00;99,24
3931,50;99,23
3931,00;99,22
3930,50;99,23
3930,00;99,30
3929,50;99,38
3929,00;99,39
3928,50;99,35
3928,00;99,33
3927,50;99,35
3927,00;99,36
3926,50;99,36
3926,00;99,36
3925,50;99,35
3925,00;99,29
3924,50;99,23
3924,00;99,22
3923,50;99,23
3923,00;99,21
3922,50;99,21
3922,00;99,24
3921,50;99,26
3921,00;99,23
3920,50;99,25
3920,00;99,33
3919,50;99,35
3919,00;99,24
3918,50;99,15
3918,00;99,19
3917,50;99,27
3917,00;99,29
3916,50;99,28
3916,00;99,30
3915,50;99,29
3915,00;99,25
3914,50;99,26
3914,00;99,32
3913,50;99,33
3913,00;99,33
3912,50;99,37
3912,00;99,42
3911,50;99,41
3911,00;99,37
3910,50;99,37
3910,00;99,38
3909,50;99,35
3909,00;99,34
3908,50;99,37
3908,00;99,40
3907,50;99,42
3907,00;99,49
3906,50;99,56
3906,00;99,52
3905,50;99,39
