Created as New Dataset;
cm-1;%T
4000,00;104,15
3999,50;104,12
3999,00;104,10
3998,50;104,10
3998,00;104,11
3997,50;104,13
3997,00;104,13
3996,50;104,13
3996,00;104,15
3995,50;104,17
3995,00;104,19
3994,50;104,20
3994,00;104,20
3993,50;104,21
3993,00;104,23
3992,50;104,26
3992,00;104,28
3991,50;104,28
3991,00;104,28
3990,50;104,27
3990,00;104,24
3989,50;104,20
3989,00;104,16
3988,50;104,14
3988,00;104,15
3987,50;104,17
3987,00;104,19
3986,50;104,19
3986,00;104,19
3985,50;104,19
3985,00;104,19
3984,50;104,20
3984,00;104,20
3983,50;104,21
3983,00;104,23
3982,50;104,23
3982,00;104,23
3981,50;104,23
3981,00;104,22
3980,50;104,22
3980,00;104,21
3979,50;104,20
3979,00;104,19
3978,50;104,19
3978,00;104,19
3977,50;104,19
3977,00;104,18
3976,50;104,16
3976,00;104,14
3975,50;104,14
3975,00;104,14
3974,50;104,14
3974,00;104,16
3973,50;104,19
3973,00;104,22
3972,50;104,23
3972,00;104,23
3971,50;104,21
3971,00;104,19
3970,50;104,18
3970,00;104,19
3969,50;104,21
3969,00;104,23
3968,50;104,25
3968,00;104,26
3967,50;104,25
3967,00;104,23
3966,50;104,23
3966,00;104,23
3965,50;104,25
3965,00;104,26
3964,50;104,25
3964,00;104,24
3963,50;104,23
3963,00;104,22
3962,50;104,22
3962,00;104,20
3961,50;104,18
3961,00;104,14
3960,50;104,10
3960,00;104,08
3959,50;104,08
3959,00;104,08
3958,50;104,08
3958,00;104,10
3957,50;104,12
3957,00;104,15
3956,50;104,18
3956,00;104,20
3955,50;104,21
3955,00;104,22
3954,50;104,21
3954,00;104,20
3953,50;104,18
3953,00;104,15
3952,50;104,13
3952,00;104,14
3951,50;104,17
3951,00;104,20
3950,50;104,20
3950,00;104,18
3949,50;104,15
3949,00;104,12
3948,50;104,13
3948,00;104,16
3947,50;104,17
3947,00;104,17
3946,50;104,16
3946,00;104,15
3945,50;104,16
3945,00;104,18
3944,50;104,19
3944,00;104,20
3943,50;104,20
3943,00;104,20
3942,50;104,18
3942,00;104,14
3941,50;104,11
3941,00;104,11
3940,50;104,15
3940,00;104,20
3939,50;104,24
3939,00;104,24
3938,50;104,22
3938,00;104,21
3937,50;104,21
3937,00;104,22
3936,50;104,23
3936,00;104,24
3935,50;104,24
3935,00;104,23
3934,50;104,21
3934,00;104,18
3933,50;104,16
3933,00;104,16
3932,50;104,17
3932,00;104,16
3931,50;104,16
3931,00;104,16
3930,50;104,18
3930,00;104,22
3929,50;104,24
3929,00;104,24
3928,50;104,23
3928,00;104,22
3927,50;104,23
3927,00;104,25
3926,50;104,26
3926,00;104,26
3925,50;104,24
3925,00;104,21
3924,50;104,18
3924,00;104,18
3923,50;104,20
3923,00;104,21
3922,50;104,20
3922,00;104,18
3921,50;104,16
3921,00;104,16
3920,50;104,17
3920,00;104,18
3919,50;104,17
3919,00;104,16
3918,50;104,14
3918,00;104,14
3917,50;104,18
3917,00;104,20
3916,50;104,20
3916,00;104,18
3915,50;104,16
3915,00;104,17
3914,50;104,19
3914,00;104,22
3913,50;104,22
3913,00;104,22
3912,50;104,21
3912,00;104,20
3911,50;104,20
3911,00;104,19
3910,50;104,18
3910,00;104,17
3909,50;104,17
3909,00;104,17
3908,50;104,18
3908,00;104,19
3907,50;104,20
3907,00;104,21
3906,50;104,25
3906,00;104,29
3905,50;104,29
3905,00;104,23
3904,50;104,15
3904,00;104,08
3903,50;104,04
3903,00;104,03
3902,50;104,06
3902,00;104,11
3901,50;104,15
3901,00;104,15
3900,50;104,15
3900,00;104,18
3899,50;104,24
3899,00;104,25
3898,50;104,21
3898,00;104,16
3897,50;104,14
3897,00;104,14
3896,50;104,14
3896,00;104,12
3895,50;104,09
3895,00;104,07
3894,50;104,10
3894,00;104,14
3893,50;104,18
3893,00;104,19
3892,50;104,19
3892,00;104,18
3891,50;104,17
3891,00;104,15
3890,50;104,11
3890,00;104,09
3889,50;104,08
3889,00;104,09
3888,50;104,12
3888,00;104,14
3887,50;104,15
3887,00;104,13
3886,50;104,13
3886,00;104,14
3885,50;104,12
3885,00;104,09
3884,50;104,08
3884,00;104,11
3883,50;104,16
3883,00;104,21
3882,50;104,21
3882,00;104,19
3881,50;104,18
3881,00;104,22
3880,50;104,27
3880,00;104,26
3879,50;104,21
3879,00;104,16
3878,50;104,15
3878,00;104,17
3877,50;104,18
3877,00;104,19
3876,50;104,17
3876,00;104,16
3875,50;104,15
3875,00;104,17
3874,50;104,23
3874,00;104,28
3873,50;104,29
3873,00;104,28
3872,50;104,28
3872,00;104,30
3871,50;104,30
3871,00;104,27
3870,50;104,26
3870,00;104,27
3869,50;104,24
3869,00;104,19
3868,50;104,14
3868,00;104,13
3867,50;104,13
3867,00;104,12
3866,50;104,08
3866,00;104,05
3865,50;104,06
3865,00;104,13
3864,50;104,19
3864,00;104,22
3863,50;104,21
3863,00;104,22
3862,50;104,25
3862,00;104,29
3861,50;104,27
3861,00;104,23
3860,50;104,18
3860,00;104,14
3859,50;104,12
3859,00;104,10
3858,50;104,08
3858,00;104,06
3857,50;104,07
3857,00;104,12
3856,50;104,18
3856,00;104,24
3855,50;104,22
3855,00;104,16
3854,50;104,14
3854,00;104,12
3853,50;104,07
3853,00;104,06
3852,50;104,12
3852,00;104,18
3851,50;104,20
3851,00;104,18
3850,50;104,17
3850,00;104,19
3849,50;104,22
3849,00;104,21
3848,50;104,18
3848,00;104,16
3847,50;104,14
3847,00;104,14
3846,50;104,14
3846,00;104,15
3845,50;104,14
3845,00;104,11
3844,50;104,09
3844,00;104,08
3843,50;104,06
3843,00;104,02
3842,50;103,97
3842,00;103,94
3841,50;103,96
3841,00;104,02
3840,50;104,10
3840,00;104,16
3839,50;104,17
3839,00;104,16
3838,50;104,18
3838,00;104,25
3837,50;104,28
3837,00;104,25
3836,50;104,16
3836,00;104,08
3835,50;104,04
3835,00;104,05
3834,50;104,06
