Created as New Dataset;
nm;A
700,0;-0,0095
699,0;-0,0097
698,0;-0,0096
697,0;-0,0098
696,0;-0,0098
695,0;-0,0098
694,0;-0,0099
693,0;-0,0099
692,0;-0,0100
691,0;-0,0100
690,0;-0,0100
689,0;-0,0102
688,0;-0,0102
687,0;-0,0102
686,0;-0,0102
685,0;-0,0104
684,0;-0,0104
683,0;-0,0104
682,0;-0,0104
681,0;-0,0105
680,0;-0,0105
679,0;-0,0106
678,0;-0,0107
677,0;-0,0108
676,0;-0,0108
675,0;-0,0108
674,0;-0,0108
673,0;-0,0108
672,0;-0,0109
671,0;-0,0109
670,0;-0,0110
669,0;-0,0110
668,0;-0,0111
667,0;-0,0112
666,0;-0,0111
665,0;-0,0112
664,0;-0,0112
663,0;-0,0112
662,0;-0,0113
661,0;-0,0113
660,0;-0,0113
659,0;-0,0115
658,0;-0,0114
657,0;-0,0115
656,0;-0,0116
655,0;-0,0116
654,0;-0,0117
653,0;-0,0117
652,0;-0,0118
651,0;-0,0119
650,0;-0,0118
649,0;-0,0120
648,0;-0,0120
647,0;-0,0120
646,0;-0,0121
645,0;-0,0121
644,0;-0,0122
643,0;-0,0122
642,0;-0,0123
641,0;-0,0124
640,0;-0,0124
639,0;-0,0125
638,0;-0,0125
637,0;-0,0126
636,0;-0,0126
635,0;-0,0126
634,0;-0,0127
633,0;-0,0127
632,0;-0,0128
631,0;-0,0129
630,0;-0,0129
629,0;-0,0130
628,0;-0,0130
627,0;-0,0132
626,0;-0,0132
625,0;-0,0132
624,0;-0,0133
623,0;-0,0133
622,0;-0,0134
621,0;-0,0135
620,0;-0,0135
619,0;-0,0137
618,0;-0,0137
617,0;-0,0137
616,0;-0,0138
615,0;-0,0139
614,0;-0,0139
613,0;-0,0140
612,0;-0,0141
611,0;-0,0141
610,0;-0,0142
609,0;-0,0143
608,0;-0,0143
607,0;-0,0144
606,0;-0,0144
605,0;-0,0144
604,0;-0,0145
603,0;-0,0146
602,0;-0,0147
601,0;-0,0148
600,0;-0,0148
599,0;-0,0149
598,0;-0,0150
597,0;-0,0151
596,0;-0,0151
595,0;-0,0153
594,0;-0,0154
593,0;-0,0154
592,0;-0,0155
591,0;-0,0156
590,0;-0,0156
589,0;-0,0158
588,0;-0,0159
587,0;-0,0160
586,0;-0,0160
585,0;-0,0161
584,0;-0,0162
583,0;-0,0164
582,0;-0,0165
581,0;-0,0166
580,0;-0,0167
579,0;-0,0168
578,0;-0,0169
577,0;-0,0169
576,0;-0,0171
575,0;-0,0172
574,0;-0,0173
573,0;-0,0174
572,0;-0,0175
571,0;-0,0177
570,0;-0,0178
569,0;-0,0179
568,0;-0,0180
567,0;-0,0181
566,0;-0,0183
565,0;-0,0184
564,0;-0,0185
563,0;-0,0186
562,0;-0,0188
561,0;-0,0189
560,0;-0,0191
559,0;-0,0193
558,0;-0,0193
557,0;-0,0195
556,0;-0,0196
555,0;-0,0197
554,0;-0,0199
553,0;-0,0201
552,0;-0,0203
551,0;-0,0205
550,0;-0,0205
549,0;-0,0208
548,0;-0,0211
547,0;-0,0211
546,0;-0,0214
545,0;-0,0216
544,0;-0,0218
543,0;-0,0219
542,0;-0,0221
541,0;-0,0224
540,0;-0,0226
539,0;-0,0228
538,0;-0,0230
537,0;-0,0233
536,0;-0,0235
535,0;-0,0237
534,0;-0,0238
533,0;-0,0241
532,0;-0,0243
531,0;-0,0245
530,0;-0,0248
529,0;-0,0250
528,0;-0,0252
527,0;-0,0255
526,0;-0,0257
525,0;-0,0259
524,0;-0,0261
523,0;-0,0265
522,0;-0,0266
521,0;-0,0270
520,0;-0,0271
519,0;-0,0274
518,0;-0,0277
517,0;-0,0280
516,0;-0,0281
515,0;-0,0285
514,0;-0,0288
513,0;-0,0290
512,0;-0,0292
511,0;-0,0296
510,0;-0,0298
509,0;-0,0301
508,0;-0,0303
507,0;-0,0306
506,0;-0,0309
505,0;-0,0311
504,0;-0,0315
503,0;-0,0317
502,0;-0,0321
501,0;-0,0323
500,0;-0,0326
499,0;-0,0329
498,0;-0,0331
497,0;-0,0335
496,0;-0,0337
495,0;-0,0341
494,0;-0,0344
493,0;-0,0347
492,0;-0,0349
491,0;-0,0352
490,0;-0,0356
489,0;-0,0359
488,0;-0,0362
487,0;-0,0365
486,0;-0,0368
485,0;-0,0371
484,0;-0,0373
483,0;-0,0376
482,0;-0,0378
481,0;-0,0381
480,0;-0,0384
479,0;-0,0385
478,0;-0,0388
477,0;-0,0390
476,0;-0,0392
475,0;-0,0394
474,0;-0,0398
473,0;-0,0400
472,0;-0,0403
471,0;-0,0403
470,0;-0,0408
469,0;-0,0411
468,0;-0,0412
467,0;-0,0416
466,0;-0,0418
465,0;-0,0420
464,0;-0,0424
463,0;-0,0427
462,0;-0,0431
461,0;-0,0435
460,0;-0,0438
459,0;-0,0441
458,0;-0,0446
457,0;-0,0449
456,0;-0,0454
455,0;-0,0457
454,0;-0,0463
453,0;-0,0466
452,0;-0,0472
451,0;-0,0476
450,0;-0,0481
449,0;-0,0487
448,0;-0,0492
447,0;-0,0498
446,0;-0,0505
445,0;-0,0510
444,0;-0,0516
443,0;-0,0523
442,0;-0,0530
441,0;-0,0536
440,0;-0,0542
439,0;-0,0551
438,0;-0,0559
437,0;-0,0566
436,0;-0,0573
435,0;-0,0580
434,0;-0,0589
433,0;-0,0597
432,0;-0,0605
431,0;-0,0614
430,0;-0,0625
429,0;-0,0633
428,0;-0,0643
427,0;-0,0650
426,0;-0,0658
425,0;-0,0668
424,0;-0,0676
423,0;-0,0685
422,0;-0,0690
421,0;-0,0699
420,0;-0,0708
419,0;-0,0716
418,0;-0,0724
417,0;-0,0732
416,0;-0,0741
415,0;-0,0750
414,0;-0,0759
413,0;-0,0766
412,0;-0,0773
411,0;-0,0782
410,0;-0,0791
409,0;-0,0799
408,0;-0,0808
407,0;-0,0816
406,0;-0,0825
405,0;-0,0833
404,0;-0,0842
403,0;-0,0851
402,0;-0,0861
401,0;-0,0870
400,0;-0,0879
399,0;-0,0888
398,0;-0,0901
397,0;-0,0913
396,0;-0,0921
395,0;-0,0932
394,0;-0,0942
393,0;-0,0953
392,0;-0,0964
391,0;-0,0976
390,0;-0,0987
389,0;-0,1000
388,0;-0,1011
387,0;-0,1023
386,0;-0,1035
385,0;-0,1046
384,0;-0,1066
383,0;-0,1084
382,0;-0,1094
381,0;-0,1105
380,0;-0,1115
379,0;-0,1125
378,0;-0,1137
377,0;-0,1147
376,0;-0,1159
375,0;-0,1166
374,0;-0,1175
373,0;-0,1181
372,0;-0,1189
371,0;-0,1198
370,0;-0,1205
369,0;-0,1212
368,0;-0,1221
367,0;-0,1226
366,0;-0,1232
365,0;-0,1237
364,0;-0,1243
363,0;-0,1248
362,0;-0,1253
361,0;-0,1259
360,0;-0,1262
359,0;-0,1266
358,0;-0,1270
357,0;-0,1273
356,0;-0,1277
355,0;-0,1279
354,0;-0,1285
353,0;-0,1286
352,0;-0,1290
351,0;-0,1294
350,0;-0,1296
349,0;-0,1297
348,0;-0,1302
347,0;-0,1307
346,0;-0,1311
345,0;-0,1315
344,0;-0,1319
343,0;-0,1321
342,0;-0,1324
341,0;-0,1328
340,0;-0,1332
339,0;-0,1335
338,0;-0,1340
337,0;-0,1344
336,0;-0,1349
335,0;-0,1355
334,0;-0,1361
333,0;-0,1366
332,0;-0,1374
331,0;-0,1379
330,0;-0,1388
329,0;-0,1392
328,0;-0,1399
327,0;-0,1419
326,0;-0,1429
325,0;-0,1436
324,0;-0,1442
323,0;-0,1448
322,0;-0,1458
321,0;-0,1466
320,0;-0,1473
319,0;-0,1480
318,0;-0,1488
317,0;-0,1497
316,0;-0,1504
315,0;-0,1511
314,0;-0,1518
313,0;-0,1527
312,0;-0,1536
311,0;-0,1544
310,0;-0,1551
309,0;-0,1557
308,0;-0,1564
307,0;-0,1571
306,0;-0,1579
305,0;-0,1587
304,0;-0,1592
303,0;-0,1598
302,0;-0,1606
301,0;-0,1611
300,0;-0,1618
299,0;-0,1623
298,0;-0,1631
297,0;-0,1637
296,0;-0,1644
295,0;-0,1654
294,0;-0,1661
293,0;-0,1670
292,0;-0,1682
291,0;-0,1687
290,0;-0,1700
289,0;-0,1712
288,0;-0,1724
287,0;-0,1734
286,0;-0,1746
285,0;-0,1757
284,0;-0,1768
283,0;-0,1781
282,0;-0,1790
281,0;-0,1801
280,0;-0,1813
279,0;-0,1825
278,0;-0,1836
277,0;-0,1845
276,0;-0,1857
275,0;-0,1866
274,0;-0,1876
273,0;-0,1885
272,0;-0,1896
271,0;-0,1908
270,0;-0,1915
269,0;-0,1924
268,0;-0,1937
267,0;-0,1948
266,0;-0,1963
265,0;-0,1977
264,0;-0,1991
263,0;-0,2007
262,0;-0,2022
261,0;-0,2040
260,0;-0,2057
259,0;-0,2073
258,0;-0,2093
257,0;-0,2112
256,0;-0,2131
255,0;-0,2151
254,0;-0,2171
253,0;-0,2195
252,0;-0,2219
251,0;-0,2247
250,0;-0,2280
249,0;-0,2316
248,0;-0,2362
247,0;-0,2419
246,0;-0,2495
245,0;-0,2602
244,0;-0,2747
243,0;-0,2955
242,0;-0,3257
241,0;-0,3699
240,0;-0,4334
239,0;-0,5267
238,0;-0,6604
237,0;-0,8563
236,0;-1,1383
235,0;-1,5420
234,0;-2,0629
233,0;-2,5443
232,0;-2,7590
231,0;-2,8184
230,0;-2,8569
229,0;-2,8886
228,0;-2,9153
227,0;-2,9261
226,0;-2,9699
225,0;-2,9952
224,0;-3,0227
223,0;-3,0530
222,0;-3,0850
221,0;-3,1029
220,0;-3,1254
219,0;-3,1285
218,0;-3,1567
217,0;-3,2046
216,0;-3,2152
215,0;-3,2383
214,0;-3,2710
213,0;-3,2723
212,0;-3,2825
211,0;-3,2686
210,0;-3,2719
209,0;-3,3502
208,0;-3,3201
207,0;-3,3458
206,0;-3,3606
205,0;-3,3513
204,0;-3,3169
203,0;-3,3153
202,0;-3,2466
201,0;-3,2983
200,0;-3,2877
