Created as New Dataset;
cm-1;%T
4000,00;103,82
3999,50;103,82
3999,00;103,83
3998,50;103,84
3998,00;103,84
3997,50;103,83
3997,00;103,82
3996,50;103,81
3996,00;103,82
3995,50;103,84
3995,00;103,86
3994,50;103,85
3994,00;103,84
3993,50;103,83
3993,00;103,85
3992,50;103,88
3992,00;103,92
3991,50;103,95
3991,00;103,96
3990,50;103,94
3990,00;103,89
3989,50;103,83
3989,00;103,80
3988,50;103,78
3988,00;103,78
3987,50;103,79
3987,00;103,79
3986,50;103,78
3986,00;103,79
3985,50;103,80
3985,00;103,82
3984,50;103,82
3984,00;103,82
3983,50;103,82
3983,00;103,83
3982,50;103,84
3982,00;103,85
3981,50;103,84
3981,00;103,83
3980,50;103,80
3980,00;103,79
3979,50;103,79
3979,00;103,80
3978,50;103,81
3978,00;103,83
3977,50;103,83
3977,00;103,83
3976,50;103,81
3976,00;103,78
3975,50;103,77
3975,00;103,78
3974,50;103,80
3974,00;103,83
3973,50;103,84
3973,00;103,82
3972,50;103,78
3972,00;103,76
3971,50;103,76
3971,00;103,78
3970,50;103,80
3970,00;103,81
3969,50;103,83
3969,00;103,87
3968,50;103,91
3968,00;103,95
3967,50;103,96
3967,00;103,95
3966,50;103,93
3966,00;103,92
3965,50;103,92
3965,00;103,91
3964,50;103,90
3964,00;103,89
3963,50;103,87
3963,00;103,86
3962,50;103,85
3962,00;103,83
3961,50;103,81
3961,00;103,79
3960,50;103,78
3960,00;103,78
3959,50;103,79
3959,00;103,78
3958,50;103,77
3958,00;103,76
3957,50;103,77
3957,00;103,79
3956,50;103,82
3956,00;103,84
3955,50;103,85
3955,00;103,84
3954,50;103,83
3954,00;103,82
3953,50;103,80
3953,00;103,79
3952,50;103,77
3952,00;103,77
3951,50;103,78
3951,00;103,79
3950,50;103,78
3950,00;103,76
3949,50;103,73
3949,00;103,74
3948,50;103,78
3948,00;103,82
3947,50;103,82
3947,00;103,79
3946,50;103,74
3946,00;103,71
